operation,parameter,result,result_description
Change,Porosity,Electroplating,"The process of using electrical current to reduce cations of a desired material from a solution and coat a conductive object with a thin layer of the material, such as a metal. Primarily used to bestow a desired property (e.g., abrasion and wear resistance, corrosion protection, lubricity, aesthetic qualities, etc.) to a surface that otherwise lacks that property. Also used to build up thickness on undersized parts."
Change,Porosity,Electrorheological Effect,"Electrorheological (ER) fluids are suspensions of extremely fine non-conducting particles (up to 50 micrometres diameter) in an electrically insulating fluid. The apparent viscosity of ER fluids changes reversibly by an order of up to 100,000 in response to an electric field. A typical ER fluid can go from the consistency of a liquid to that of a gel, and back, with response times of the order of ms. Sometimes called the Winslow Effect."
Change,Porosity,Electrostriction,"A property of all electrical non-conductors, or dielectrics, that causes them to change their shape under the application of an electric field. All dielectrics exhibit some electrostriction, but certain engineered ceramics, known as relaxor ferroelectrics, have extraordinarily high electrostrictive constants,e.g. Lead magnesium niobate (PMN), Lead magnesium niobate-lead titanate (PMN-PT), Lead lanthanum zirconate titanate (PLZT)."
Change,Porosity,Electroviscous Effect,Change in a liquid's viscosity induced by a strong electrostatic field.
Change,Porosity,Electrowetting,(or Electrocapillary Effect) The modification of the wetting properties of a hydrophobic surface with an applied electric field.
Change,Porosity,Evaporation,The change of the physical state of aggregation (or simply state) of matter from liquid phase to gaseous phase.
Change,Porosity,Fatigue,"The progressive and localised structural damage that occurs when a material is subjected to cyclic loading. The maximum stress values are less than the ultimate tensile stress limit, and may be below the yield stress limit of the material."
Change,Porosity,Filter (physical),"A device (usually a membrane or layer) that is designed to block certain objects or substances while letting others through. Filters are often used to remove harmful substances from air or water, for example to remove air pollution, to make water drinkable, to prepare coffee. In domestic food and drink preparation where bulk solids are removed from liquids, this is often called a strainer."
Change,Porosity,Flocculation,A process of contact and adhesion whereby the particles of a dispersion form larger-size clusters.
Change,Porosity,Flow Separation,"For a solid object travelling through a fluid (or alternatively a stationary object exposed to a moving fluid) flow separation occurs when the boundary layer travels far enough against an adverse pressure gradient that the speed of the boundary layer falls almost to zero.The fluid flow becomes detached from the surface of the object, and instead takes the forms of eddies and vortices."
Change,Porosity,Fluidisation,"A process similar to liquefaction whereby a granular material is converted from a static solid-like state to a dynamic fluid-like state. This process occurs when a fluid (liquid or gas) is passed up through the granular material. When fluidized, a bed of solid particles will behave as a fluid, like a liquid or gas."
Change,Porosity,Foam,A substance that is formed by trapping many gas bubbles in a liquid or solid.
Change,Porosity,Forced Convection,"Heat advection by a fluid which is not due to the natural forces of buoyancy induced by heating. In forced heat convection, transfer of heat is due to movement in the fluid which results from many other forces, such as (for example) a fan or pump."
Change,Porosity,Fractal Forms,"A fractal is generally 'a rough or fragmented geometric shape that can be split into parts, each of which is (at least approximately) a reduced-size copy of the whole,' a property called self-similarity. A mathematical fractal is based on an equation that undergoes iteration, a form of feedback based on recursion."
Change,Porosity,Free Convection,Movement of molecules of fluids (or gases) dues to density differences in the fluid (or gas) occurring due to temperature gradients.
Change,Porosity,Freeze Casting,"(or freeze-gelation) A sol-gel process for making complex ceramic objects without high temperature sintering. Usually a silica sol is mixed with filler powder. A wetting agent disperses the filler in the sol, to make a thixotropic mix that liquifies when vibrated in a mould, freeing trapped air. Freezing the mould causes the silica to precipitate from the sol, making a gel that binds the filler like a sintering greenform which is furnace-dried."
Change,Porosity,Freezing,"A phase change in which a liquid turns into a solid when its temperature is lowered below its freezing point. Colloquially it is applied to water, but technically it applies to any liquid. All known liquids, except liquid helium, freeze when the temperature is lowered enough."
Change,Porosity,Friction,The force resisting the relative motion of two surfaces in contact or a surface in contact with a fluid (e.g. air on an aircraft or water in a pipe).
Change,Porosity,Gel,"A gel is a solid, jelly-like material that can have properties ranging from soft and weak to hard and tough. Gels are defined as a substantially dilute crosslinked system, which exhibits no flow when in the steady-state. By weight, gels are mostly liquid, yet they behave like solids due to a three-dimensional crosslinked network within the liquid. It is the crosslinks within the fluid that give a gel its structure (hardness) and contribute to stickiness (tack)."
Change,Porosity,Geometry,"A part of mathematics concerned with questions of size, shape, and relative position of figures and with properties of space"
Change,Porosity,Gravitation,"A natural phenomenon by which objects with mass attract one another. In everyday life, gravitation is most commonly thought of as the agency which lends weight to objects with mass."
Change,Porosity,Gravitational Convection (non heat),"Differential buoyancy forces which cause convection in gravity fields may result from sources of density variations in fluids other than those produced by heat, such as variable composition. For example, diffusion of a source of dry salt downward into wet soil assisted by the mechanism of the fact that saline is heavier than fresh water."
Change,Porosity,Holes,A hole is a confined lack of structure in some part of an object.
Change,Porosity,Hot Isostatic Pressing,"A manufacturing process used to reduce the porosity of metals and influence the density of many ceramic materials. This improves the mechanical properties, workability and ceramic density. The HIP process subjects a component to both elevated temperature and isostatic gas pressure in a high pressure containment vessel."
Change,Porosity,Hydrodynamic Cavitation,"The process of vaporisation, bubble generation and bubble implosion which occurs in a flowing liquid as a result of a decrease and subsequent increase in local pressure."
Change,Porosity,Hydrophobe,The physical property of a molecule (known as a hydrophobe) that is repelled from a mass of water. Hydrophobic molecules tend to be non-polar and thus prefer other neutral molecules and nonpolar solvents. Hydrophobic molecules in water often cluster together forming micelles. Water on hydrophobic surfaces will exhibit a high contact angle.
Change,Porosity,Laminar Flow,"(sometimes known as streamline flow) Occurs when a fluid flows in parallel layers, with no disruption between the layers. In fluid dynamics, laminar flow is a flow regime characterized by high momentum diffusion, low momentum convection, pressure and velocity independent from time. It is the opposite of turbulent flow. In nonscientific terms laminar flow is 'smooth,' while turbulent flow is 'rough.'"
Change,Porosity,Lamination,A laminate is a material that can be constructed by uniting two or more layers of material together. The process of creating a laminate is lamination
Change,Porosity,Liquid Membrane,"A membrane in which the active component is in liquid form, typically held in the form of an emulsion or supported in pores in some carrier material."
Change,Porosity,Magnetohydrodynamic Effect,"A magnetic field can induce currents in a moving conductive fluid, which create forces on the fluid, and also change the magnetic field itself."
Change,Porosity,Magnetorheological Fluid,"A suspension of micrometer-sized magnetic particles in a carrier fluid, usually a type of oil. When subjected to a magnetic field, the fluid greatly increases its apparent viscosity, to the point of becoming a viscoelastic solid. The yield stress of the fluid when in its active ('on') state can be controlled very accurately by varying the magnetic field intensity, hence the fluid's ability to transmit force can be controlled with an electromagnet, which gives rise to its many possible control-based applications."
Change,Porosity,Magnetostriction,A property of ferromagnetic materials that causes them to change their shape or dimensions during the process of magnetisation. The variation of material's magnetisation due to the applied magnetic field changes the magnetostrictive strain until reaching its saturation value. This effect can cause losses due to frictional heating in susceptible ferromagnetic cores.
Change,Porosity,Metal Foam,"A cellular structure consisting of a solid metal, frequently aluminium, containing a large volume fraction of gas-filled pores. The pores can be sealed (closed-cell foam), or they can form an interconnected network (open-cell foam)."
Change,Porosity,Metal Organic Framework,"(or MOF). A class of cordination polymers consisting of metal ions or clusters coordinated to organic ligands to form 1, 2 or 3-dimensional structures with the special feature that they are often porous. MOFs are of interest for the storage of gases such as hydrogen and carbon dioxide. Other possible applications of MOFs are in gas purification, gas separation, catalysis, as sensors and as supercapacitors."
Change,Porosity,Microelectromechanical Systems,"(MEMS) is the technology of the very small, and merges at the nano-scale into nanoelectromechanical systems (NEMS) and nanotechnology. MEMS are made up of components between 1 to 100 micrometers in size (i.e. 0.001 to 0.1 mm) and MEMS devices generally range in size from a 20 micrometers (20 millionth of a meter) to a millimeter."
Change,Porosity,Microsphere,"Small spherical particles, with diameters in the micrometer range (typically 1µm to 1000µm (1mm)). They may be used to encapsulate and transport other substances and/or control their release."
Change,Porosity,Mineral Hydration,"An inorganic chemical reaction where water is added to the crystal structure of a mineral, usually creating a new mineral, usually called a hydrate.There are two main ways in which minerals hydrate. One is conversion of an oxide to a double hydroxide, e.g. hydration of calcium oxide - CaO - to calcium hydroxide - Ca(OH)2, the other is incorporation of water molecules directly into the crystalline structure of the mineral, e.g. the hydration of feldspars to clay minerals. Hydration is the mechanism by which Portland cement develops strength."
Change,Porosity,Mixed Convection,Movement of fluids or gases (or particles carried by fluids or gasses) by a combination of Free and Forced Convection
Change,Porosity,Molecular Sieve,A material containing tiny pores of a precise and uniform size that is used as an adsorbent for gases and liquids.
Change,Porosity,Nanocomposite,"A multiphase solid material where one of the phases has one, two or three dimensions of less than 100 nanometers (nm), or structures having nano-scale repeat distances between the different phases that make up the material. Can include porous media, colloids, gels and copolymers, but is more usually taken to mean the solid combination of a bulk matrix and nano-dimensional phase(s)."
Change,Porosity,Nanoporous Material,"Materials consisting of a regular organic or inorganic framework supporting a regular, porous structure. Pores are by definition roughly in the nanometre range."
Change,Porosity,Negative Thermal Expansion,"A physicochemical process in which some materials contract upon heating rather than expanding as most materials do. Materials which undergo this unusual process have a range of potential engineering, photonic, electronic, and structural applications. For example, mixing a negative thermal expansion material with a 'normal' material which expands on heating, could result in a zero expansion composite material."
Change,Porosity,Non-Newtonian Fluids,"Fluids whose flow properties are not described by a single constant value of viscosity. In a non-Newtonian fluid, the relation between the shear stress and the strain rate is nonlinear, and can even be time-dependent. Therefore a constant coefficient of viscosity can not be defined. A ratio between shear stress and rate of strain (or shear-dependent viscosity) can be defined, this being more useful for fluids without time-dependent behavior."
Change,Porosity,Nucleation,"The extremely localised budding of a distinct thermodynamic phase. Some examples of phases that may form via nucleation in liquids are gaseous bubbles, crystals or glassy regions. Creation of liquid droplets in saturated vapor is also characterized by nucleation. Most nucleation processes are physical, rather than chemical, but a few exceptions do exist (e.g. electrochemical nucleation)."
Change,Porosity,Osmotic Pressure,Osmotic pressure is the pressure applied by a solution to prevent the inward flow of water across a semipermeable membrane.
Change,Porosity,Parachute,"A device used to slow the motion of an object through an atmosphere by creating drag, or in the case of ram-air parachutes, aerodynamic lift."
Change,Porosity,Parylene,"Parylene is the tradename for a variety of chemical vapour deposited poly(p-xylylene) polymers used as moisture barriers and electrical insulators. Among them, Parylene C is the most popular due to its combination of barrier properties, cost, and other manufacturing advantages."
Change,Porosity,Permeation,"The penetration of a permeate (such as a liquid, gas, or vapour) through a solid. The permeate always migrates to the lower concentration in three steps: 1. Sorption (at the interface); 2. Diffusion (through the solid); 3. Desorption (the adsorbate leaves the solid as a gas)."
Change,Porosity,Pervaporation,"A method for the separation of mixtures of liquids by partial vaporisation through a non-porous or porous membrane. The name is derived from the two basic steps of the process, firstly the permeation through the membrane by the permeate, then its evaporation into the vapor phase. This process is used by a number of industries for several different processes, including purification and analysis, due to its simplicity and in-line nature."
Change,Porosity,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Change,Porosity,Physical Vapour Deposition,A variety of methods used to deposit thin films by the condensation of a vaporized form of the material onto various surfaces
Change,Porosity,Piezomagnetism,"A phenomenon observed in some antiferromagnetic crystals. It is characterised by a linear coupling between the system's magnetic polarisation and mechanical strain. In a piezomagnetic, one may induce a spontaneous magnetic moment by applying physical stress, or a physical deformation by applying a magnetic field. Piezomagnetism differs from the related property of magnetostriction."
Change,Porosity,Plasma Enhanced Chemical Vapour Deposition,"(PECVD) A process used to deposit thin films from a gas state (vapour) to a solid state on a substrate. Chemical reactions are involved in the process, which occur after creation of a plasma of the reacting gases."
Change,Porosity,Plasma Spray,"A method of thermal spraying producing coatings and free-standing parts using a plasma jet. Deposits having thickness from micrometers to several millimeters can be produced from a variety of materials, including metals, ceramics, polymers and composites."
Change,Porosity,Porosity,The quality of being porous - i.e. having voids or spaces within a solid substance within or through which fluids can be present.
Change,Porosity,Precipitation,The formation of a solid in a solution or inside another solid during a chemical reaction or by diffusion in a solid.
Change,Porosity,Pressure Increase,Pressure is an effect which occurs when a force is applied on a surface. Pressure is transmitted to solid boundaries or across arbitrary sections of fluid normal to these boundaries or sections at every point.
Change,Porosity,Reticulated Foam,"A very porous, low density solid foam. Reticulated foams are extremely open foams i.e. there are few, if any, intact bubbles or cell windows. In contrast, the foam formed by soap bubbles is composed solely of intact (fully enclosed) bubbles. In a reticulated foam only the linear boundaries where the bubbles meet remain."
Change,Porosity,Reverse Brazil Nut Effect,"Under certain conditions the reverse of the Brazil Nut Effect (granular separation) can occur i.e. following vibration or agitation large beads fall to the bottom of a container, and small beads rising to the top of the container."
Change,Porosity,Rheopecty,"(or rheopexy) The rare property of some non-Newtonian fluids to show a time-dependent change in viscosity; the longer the fluid undergoes shearing force, the higher its viscosity. Rheopectic fluids, such as some lubricants, thicken or solidify when shaken (the opposite type of behaviour, in which fluids become less viscous the longer they undergo shear, is called thixotropy and is much more common)."
Change,Porosity,Sedimentation,"The motion of molecules in solutions or particles in suspensions in response to an external force such as gravity, centrifugal acceleration or electromagnetism. Sedimentation may pertain to objects of various sizes, ranging from suspensions of dust and pollen particles to cellular suspensions to solutions of single molecules such as proteins and peptides."
Change,Porosity,Semipermeable Membrane,"A membrane that will allow certain molecules or ions to pass through it by diffusion (and occasionally specialized facilitated diffusion). The rate of passage depends on the pressure, concentration, and temperature of the molecules or solutes on either side, as well as the permeability of the membrane to each solute."
Change,Porosity,Settling,"The process by which particulates settle to the bottom of a liquid and form a sediment. Particles that experience a force, either due to gravity or due to centrifugal motion will tend to move in a uniform manner in the direction exerted by that force. For gravity settling, this means that the particles will tend to fall to the bottom of the vessel, forming a slurry at the vessel base."
Change,Porosity,Shear Thickening,(or Dilitant) The property of a material for which viscosity increases with the rate of shear. Such a shear thickening fluid is an example of a non-Newtonian fluid.
Change,Porosity,Shear Thinning,"(or Pseudoplasticy) The property of a material for which which viscosity decreases with increasing rate of shear. This property is found in certain complex solutions, such as ketchup, whipped cream, blood, paint, and nail polish. It is also a common property of polymer solutions and molten polymers."
Change,Porosity,Shock Wave,"A type of propagating disturbance. Like an ordinary wave, it carries energy and can propagate through a medium (solid, liquid, gas or plasma) or through a field such as the electromagnetic field. Characterized by an abrupt, nearly discontinuous change in the characteristics of the medium. Associated with rapid rise in pressure, temperature and density of the flow. A shock wave travels through most media at a higher speed than an ordinary wave."
Change,Porosity,Sintering,"A method for making objects from powder, by heating the material below its melting point (solid state sintering) until its particles adhere to each other. Traditionally used for manufacturing ceramic objects. Most, if not all, metals can be sintered - especially pure metals produced in vacuum which suffer no surface contamination. Many nonmetallic substances also sinter, such as glass, alumina, zirconia, silica, magnesia, lime, ice, beryllium oxide, ferric oxide, and various organic polymers."
Change,Porosity,Sol,"A colloidal suspension of solid particles (1-500 nanometres in size) in a liquid. Examples include blood, pigmented ink, and paint."
Change,Porosity,Sorption,"The action of both absorption and adsorption taking place simultaneously, i.e. the effect of gases or liquids being incorporated into a material of a different state and adhering to the surface of another molecule. Absorption is the incorporation of a substance in one state into another of a different state (e.g., liquids absorbed by solid or gas absorbed by liquid). Adsorption is the physical adherence or bonding of ions and molecules onto the surface of another molecule."
Change,Porosity,Spin Coating,"A procedure used to apply uniform thin films to flat substrates. In short, an excess amount of a solution is placed on the substrate, which is then rotated at high speed in order to spread the fluid by centrifugal force."
Change,Porosity,Sponge,A tool or cleaning aid consisting of porous material.
Change,Porosity,Supercritical Fluid,"Any substance at a temperature and pressure above its critical point. It can diffuse through solids like a gas, and dissolve materials like a liquid. Additionally, close to the critical point, small changes in pressure or temperature result in large changes in density, allowing many properties to be 'tuned'."
Change,Porosity,Superhydrophilicity,"Under light irradiation, water dropped onto titanium dioxide forms no contact angle (almost 0 degrees). This effect is called superhydrophilicity. Examples of uses: defogging glass, enabling oil spots to be swept away by water, door mirrors for cars, coatings for buildings, self-cleaning glass, etc. Another use is the property of self-cleaning by the photodecomposition of dirt such as organic compounds adsorbed on the surface."
Change,Porosity,Surface Tension,"An attractive property of the surface of a liquid. It is what causes the surface portion of liquid to be attracted to another surface, such as that of another portion of liquid (as in connecting bits of water or as in a drop of mercury that forms a cohesive ball)."
Change,Porosity,Surfactant,"Wetting agents that lower the surface tension of a liquid, allowing easier spreading, and lower the interfacial tension between two liquids. Surfactants may act as: detergents, wetting agents, emulsifiers, foaming agents, and dispersants."
Change,Porosity,Tension,"The pulling force exerted by a string, cable, chain, or similar object on another object. It is the opposite of compression."
Change,Porosity,Tesla Valvular Conduit,"A one-way valve with no moving parts, using the geometry of the fluid path to redirect the flow of the fluid to oppose its own motion in one direction, but offering little resistance in the other."
Change,Porosity,Thermal Contraction,The tendency of matter to reduce in volume (contract) in response to a change in temperature or when a substance is cooled.
Change,Porosity,Thermal Expansion,The tendency of matter to change in volume in response to a change in temperature or when a substance is heated.
Change,Porosity,Thin Films,Thin material layers ranging from fractions of a nanometre to several micrometres in thickness. Electronic semiconductor devices and optical coatings are the main applications benefiting from thin film construction.
Change,Porosity,Thixotropy,"The property of some non-Newtonian pseudoplastic fluids to show a time-dependent change in viscosity; the longer the fluid undergoes shear stress, the lower its viscosity. A thixotropic fluid is a fluid which takes a finite amount of time to attain equilibrium viscosity when introduced to a step change in shear rate. Many gels and colloids are thixotropic materials, exhibiting a stable form at rest but becoming fluid when agitated."
Change,Porosity,Turbulence,"A fluid regime characterised by chaotic, stochastic property changes. This includes low momentum diffusion, high momentum convection, and rapid variation of pressure and velocity in space and time (flow that is not turbulent is called laminar flow)."
Change,Porosity,Two-Phase Flow,"A system containing a gas and a liquid with a meniscus separating the two phases (for example, but not limited to, a liquid containing bubbles of gas)."
Change,Porosity,Ultrasonic Capillary Effect,"Abnormally high rise of a liquid and its penetration into capillary channels due to a high-intensity ultrasound field. Caused by the collapse of cavitation bubbles at the capillary inlet. A collaping bubble generates a liquid microjet, the penetration of which into capillary channel causes the height increment of the capillary liquid column. Summation of such increments lies behind the increase of a height and a velocity of the liquid rise in a capillary under the ultrasound action."
Change,Porosity,Ultrasonic Vibration,Vibration at ultrasonic frequencies.
Change,Porosity,Vacuum,"A volume of space that is essentially empty of matter, such that its gaseous pressure is much less than atmospheric pressure. A perfect vacuum would be one with no particles in it at all, which is impossible to achieve in practice. Physicists often discuss ideal test results that would occur in a perfect vacuum, which they simply call 'vacuum' or 'free space', and use the term partial vacuum to refer to real vacuum."
Change,Porosity,Vacuum Plasma Spraying,"(VPS) A technology for etching and surface modification to create porous layers with high reproductibility and for cleaning and surface engineering of plastics, rubbers and natural fibres. This surface engineering can improve properties such as frictional behaviour, heat resistance, surface electrical conductivity, lubricity, cohesive strength of films, or dielectric constant, or it can make materials hydrophilic or hydrophobic."
Change,Porosity,Valve,"A device that regulates the flow of a fluid (gases, liquids, fluidised solids, or slurries) by opening, closing, or partially obstructing various passageways."
Change,Porosity,Vitrification,"The transformation of a substance into a glass. Usually, it is achieved by rapdily cooling a liquid through the glass transition. Certain chemical reactions also result in glasses."
Change,Porosity,Wetting,"The ability of a liquid to maintain contact with a solid surface, resulting from intermolecular interactions when the two are brought together. The degree of wetting is determined by a force balance between adhesive and cohesive forces. Adhesive forces between a liquid and solid cause a liquid drop to spread across the surface. Cohesive forces within the liquid cause the drop to ball up and avoid contact with the surface."
Change,Position,Acoustic Levitation,A method for suspending matter in a medium by using acoustic radiation pressure from intense sound waves in the medium. Usually used for containerless processing. Although harder to control than some other methods it has the advantage of being able to levitate nonconducting materials.
Change,Position,Acoustic Lubrication,"(or sonic lubrication) occurs when sound permits vibration to introduce separation between sliding faces (or between a series of particles). The frequency of sound required to induce optimal vibration, and thus cause sonic lubrication, varies with the size of the particles (high frequencies will have the effect on sand and lower frequencies will have on boulders)."
Change,Position,Acoustic Radiation Pressure,A force on a particle suspended in the field of a sound wave arising from the scattering of the acoustic waves on the particle.
Change,Position,Acoustic Tweezers,"A technology for controlling the movement of objects by sound waves. In a standing acoustic field, objects will experience an acoustic radiation force that moves the objects to special regions of the acoustic field.Depending on the properties of the objects, they can be moved to either acoustic pressure nodes or pressure antinodes."
Change,Position,Advection,"A transport mechanism of a substance, or a conserved property, by a fluid, due to the fluid's bulk motion in a particular direction. An example of advection is the transport of pollutants or silt in a river."
Change,Position,Antibubble,"A droplet of liquid surrounded by a thin film of gas, as opposed to a gas bubble, which is a sphere of gas surrounded by a thin film of liquid. Antibubbles are formed when liquid drops or flows turbulently into the same or another liquid. They can either skim across the surface of a liquid such as water (e.g. water globules), or be completely submerged in the liquid to which they are directed."
Change,Position,Archimedes Screw,A device with a revolving screw-shaped blade inside a cylinder that can be used for pumping liquids and semifluid solids such as coal and grain.
Change,Position,Axle,A central shaft for a rotating wheel or gear.
Change,Position,Backlash,"Clearance between mating components, sometimes described as the amount of lost motion due to clearance or slackness when movement is reversed and contact is re-established."
Change,Position,Ball,"A round, usually spherical but sometimes ovoid, object with various uses."
Change,Position,Brazil Nut Effect,A phenomenon in which the largest particles end up on the surface when a granular material containing a mixture of objects of different sizes is shaken. Also known as the muesli effect.
Change,Position,Bubble,"A globule of one substance in another, usually gas in a liquid. Due to the Marangoni effect, bubbles may remain intact when they reach the surface of the immersive substance."
Change,Position,Cam,"A projecting part of a rotating wheel or shaft that strikes a lever at one or more points on its circular path. The cam can be a simple tooth, as is used to deliver pulses of power to a steam hammer, for example, or an eccentric disc or other shape that produces a smooth reciprocating (back and forth) motion. A device that translates movement from circular to reciprocating (or sometimes oscillating)"
Change,Position,Coffee Ring Effect,A pattern left by a puddle of particle-laden liquid after it evaporates. Named after the characteristic ring-like deposit along the perimeter of a spill of coffee. The pattern is due to capillary flow induced by the differential evaporation rates across the drop: liquid evaporating from the edge is replenished by liquid from the interior. The resulting edgeward flow can carry nearly all the dispersed material to the edge.
Change,Position,Convection,"The movement of molecules within fluids (i.e. liquids, gases) and rheids. One of the major modes of heat transfer and mass transfer. Convective heat and mass transfer take place through both diffusion (random Brownian motion) and by advection (transport by the larger-scale motion of currents). Note that a common use of the term convection refers specifically to heat transfer by convection, as opposed to convection in general."
Change,Position,Converse Piezoelectric Effect,"Materials exhibiting the direct piezoelectric effect (the production of electricity when stress is applied) also exhibit the converse piezoelectric effect (the production of stress and/or strain when an electric field is applied). For example, lead zirconate titanate crystals will exhibit a maximum shape change of about 0.1% of the original dimension."
Change,Position,Coriolis Force,"An apparent deflection, or force, experienced by moving objects when viewed from a rotating frame of reference. The Coriolis force is an example of a fictitious force (or pseudo force), because it does not appear when the motion is expressed in an inertial frame of reference. For example, freely moving objects on the surface of the Earth experience a Coriolis force, and appear to veer to the right in the northern hemisphere, and to the left in the southern."
Change,Position,Curve of Constant Width,"A convex planar shape whose width, defined as the perpendicular distance between two distinct parallel lines each intersecting its boundary in at least one point but not touching the interior, is the same regardless of the orientation of the curve."
Change,Position,Darwin Drift,The phenomenon that a fluid parcel is permanently displaced after the passage of a body through a fluid  the fluid being at rest far away from the body.
Change,Position,Detonation,"Detonation involves a supersonic exothermic front accelerating through a medium that eventually drives a shock front propagating directly in front of it. Detonations are observed in both conventional solid and liquid explosives, as well as in reactive gases."
Change,Position,Diamagnetism,"The property of an object which causes it to create a magnetic field in opposition of an externally applied magnetic field, thus causing a repulsive effect. It is a form of magnetism that is only exhibited by a substance in the presence of an externally applied magnetic field. Diamagnetism is generally a quite weak effect in most materials, although superconductors exhibit a strong effect."
Change,Position,Eccentric,"A rotating object (typically circular) having its centre offset from the axis of rotation. It can be used, for example, to convert rotary into linear reciprocating motion."
Change,Position,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Change,Position,Electret,"An Electret is a dielectric material that has a quasi-permanent electric charge or dipole polarisation. An electret generates internal and external electric fields, and is the electrostatic equivalent of a permanent magnet."
Change,Position,Electric Field,The space surrounding an electric charge or in the presence of a time-varying magnetic field has a property called an electric field (that can also be equated to electric flux density). This electric field exerts a force on other electrically charged objects.
Change,Position,Electroactive Polymer,(or EAP) A polymer that exhibits a change in size or shape when stimulated by an electric field. The most common applications of this type of material are in actuators and sensors. A typical characteristic property of an EAP is that it will undergo a large amount of deformation while sustaining large forces.
Change,Position,Electrohydrodynamic Thruster,"(EHD) A propulsion device based on ionic fluid propulsion, that works without moving parts, using only electrical energy. The basic components of an EHD thruster are two: an ioniser and an ion accelerator. EHD thrusters are not restricted to air as their main propulsion fluid, and work perfectly in other fluids, such as oil."
Change,Position,Electromagnet,"A type of magnet whose magnetic field is produced by the flow of electric current. The magnetic field disappears when the current ceases. Electromagnets are very widely used as components of other electrical devices, such as motors, generators, relays, loudspeakers, hard disks, MRI machines, scientific instruments, and magnetic separation equipment, as well as being employed as industrial lifting electromagnets for picking up and moving heavy iron objects like scrap iron."
Change,Position,Electromagnetic Induction,The generation of electromotive force (EMF) in a current-carrying conductor exposed to a changing magnetic field
Change,Position,Electropermanent Magnet,"A type of magnet which consists of both an electromagnet and a dual material permanent magnet, in which the magnetic field produced by the electromagnet is used to change the magnetisation of the permanent magnet. Allows creating controllable permanent magnets where the magnetic effect can be maintained without requiring a continuous supply of electrical energy."
Change,Position,Electrophoresis,The motion of dispersed particles relative to a fluid under the influence of an electric field.
Change,Position,Electrostatic Fluid Accelerator,"A device which pumps a fluid such as air without any moving parts by using an electric field to propel electrically charged air molecules. There are three basic steps in the fluid acceleration process: ionize air molecules, use those ions to push many more neutral molecules in a desired direction, and then recapture and neutralize the ions to eliminate any net charge."
Change,Position,Electrostatics,The phenomena arising from stationary or slowly moving electric charges
Change,Position,Electrostriction,"A property of all electrical non-conductors, or dielectrics, that causes them to change their shape under the application of an electric field. All dielectrics exhibit some electrostriction, but certain engineered ceramics, known as relaxor ferroelectrics, have extraordinarily high electrostrictive constants,e.g. Lead magnesium niobate (PMN), Lead magnesium niobate-lead titanate (PMN-PT), Lead lanthanum zirconate titanate (PLZT)."
Change,Position,Ellipse,"The locus of points, or path traced out, in a plane such that the sum of the distances from the moving point to two fixed points remains constant. Technically a circle is a special case of an ellipse, although in this context the ellipse is seen as an alternative to circular forms."
Change,Position,Entrainment,The movement of one fluid due to the motion of another.
Change,Position,Entropic Explosion,An explosion in which the reactants undergo a large change in volume without releasing a large amount of heat.
Change,Position,Explosion,"A sudden increase in volume and release of energy in an extreme manner, usually with the generation of high temperatures and the release of gases."
Change,Position,Faraday Wave,"(or Faraday Ripples) Nonlinear standing waves that appear on liquids enclosed by a vibrating receptacle. When the vibration frequency exceeds a critical value, the flat hydrostatic surface becomes unstable. The waves can take the form of stripes, close-packed hexagons, or even squares or quasiperiodic patterns."
Change,Position,Ferrofluid,"A liquid which becomes strongly magnetised in the presence of a magnetic field. Ferrofluids are colloidal mixtures composed of nanoscale ferromagnetic, or ferrimagnetic, particles suspended in a carrier fluid, usually an organic solvent or water. The ferromagnetic nano-particles are coated with a surfactant to prevent their agglomeration (due to van der Waals and magnetic forces)."
Change,Position,Fluidisation,"A process similar to liquefaction whereby a granular material is converted from a static solid-like state to a dynamic fluid-like state. This process occurs when a fluid (liquid or gas) is passed up through the granular material. When fluidized, a bed of solid particles will behave as a fluid, like a liquid or gas."
Change,Position,Flutter,"A dynamic instability of an elastic structure in a fluid flow, caused by positive feedback between the body's deflection and the force exerted by the fluid flow."
Change,Position,Flywheel,"A mechanical device with significant moment of inertia used as a storage device for rotational energy. Flywheels resist changes in their rotational speed, which helps steady the rotation of the shaft when a fluctuating torque is exerted on it by its power source such as a piston-based (reciprocating) engine, or when the load placed on it is intermittent (such as a piston pump)."
Change,Position,Force,"That which can cause an object with mass to accelerate. Force has both magnitude & direction, i.e. it's a vector quantity. An object with constant mass will accelerate in proportion to the net force acting upon it and in inverse proportion to its mass (or the net force on an object is equal to the rate of change of momentum it experiences). Forces acting on objects may cause them to rotate or deform, or result in a change in pressure."
Change,Position,Funnel,"A funnel is a pipe with a wide, often conical mouth and a narrow stem. It is used to channel liquid or fine-grained substances into containers with a small opening. Without a funnel, much spillage would occur."
Change,Position,Galvanometer,"An analog electromechanical transducer that produces a rotary deflection, through a limited arc, in response to electric current flowing through its coil."
