from,to,result,result_description
Chemical,Optical,Nuclear Fusion,The generation of power by the fusing together of atomic nuclei to form a heavier nucleus.
Chemical,Optical,Oxidation,"A chemical reaction that involves the loss of electrons or an increase in the oxidation state by a molecule, atom or ion."
Chemical,Optical,Phosphorescence,"A specific type of photoluminescence related to fluorescence. Unlike fluorescence, a phosphorescent material does not immediately re-emit the radiation it absorbs."
Chemical,Optical,Pyrophoricity,A pyrophoric substance ignites spontaneously in air at or below 55 degrees centigrade. The creation of sparks from metals is based on the pyrophoricity of small metal particles. The sparking mechanism in cigarette lighters is an example. Some liquids and gases are phyrophoric.
Chemical,Optical,Radioactive Decay,The process in which an unstable atomic nucleus spontaneously loses energy by emitting ionizing particles and radiation.
Chemical,Thermal,Combustion,"(or burning) A complex sequence of exothermic chemical reactions between a fuel and an oxidant accompanied by the production of heat or both heat and light in the form of either a glow or flames. Direct combustion by atmospheric oxygen is a reaction mediated by radical intermediates typically produced as a result of thermal runaway, where the heat generated by combustion is necessary to maintain the high temperature necessary for radical production."
Chemical,Thermal,Condensation,The change of the physical state of aggregation (or simply state) of matter from gaseous phase into liquid phase.
Chemical,Thermal,Crystallisation,"The (natural or artificial) process of formation of solid crystals precipitating from a identical solution or melt, or more rarely deposited directly from a gas. Crystallisation is also a chemical solid-liquid separation technique, in which mass transfer of a solute from the liquid solution to a pure solid crystalline phase occurs."
Chemical,Thermal,Decomposition (biological),The break down of tissue of a formerly living organism into simpler forms of matter.
Chemical,Thermal,Deflagration,"A technical term describing subsonic combustion that usually propagates through thermal conductivity (hot burning material heats the next layer of cold material and ignites it). Most 'fire' found in daily life, from flames to explosions, is technically deflagration. Deflagration is different from detonation (which is supersonic and propagates through shock compression)."
Chemical,Thermal,Deliquescence,"Deliquescent materials are substances (mostly salts) that have a strong affinity for moisture and will absorb relatively large amounts of water from the atmosphere if exposed to it, forming a liquid solution."
Chemical,Thermal,Deposition (physical),"A process in which gas transforms into solid (also known as desublimation). The reverse of deposition is sublimation. One example of deposition is the process by which, in sub-freezing air, water vapour changes directly to ice without first becoming a liquid. This is how snow forms in clouds, as well as frost and hoar frost on the ground."
Chemical,Thermal,Detonation,"Detonation involves a supersonic exothermic front accelerating through a medium that eventually drives a shock front propagating directly in front of it. Detonations are observed in both conventional solid and liquid explosives, as well as in reactive gases."
Chemical,Thermal,Exothermic Reaction,"An exothermic reaction is a chemical reaction accompanied by the release of heat. In other words, the energy needed for the reaction to occur is less than the total energy released. As a result of this, the extra energy is released, usually in the form of heat."
Chemical,Thermal,Explosion,"A sudden increase in volume and release of energy in an extreme manner, usually with the generation of high temperatures and the release of gases."
Chemical,Thermal,Fermentation,"In an industrial context, fermentation refers to the breakdown of organic substances and re-assembly into other substances. Somewhat paradoxically, fermenter culture in industrial capacity often refers to highly oxygenated and aerobic growth conditions, whereas fermentation in the biochemical context is a strictly anaerobic process."
Chemical,Thermal,Freezing,"A phase change in which a liquid turns into a solid when its temperature is lowered below its freezing point. Colloquially it is applied to water, but technically it applies to any liquid. All known liquids, except liquid helium, freeze when the temperature is lowered enough."
Chemical,Thermal,Latent Heat,"Energy released or absorbed, by a body or a thermodynamic system, during a constant-temperature process. An example is a state of matter change, meaning a phase transition, such as ice melting or water boiling."
Chemical,Thermal,Metastability,A general scientific concept which describes states of delicate equilibrium. A system is in a metastable state when it is in equilibrium (not changing with time) but is susceptible to fall into lower-energy states with only slight interaction. It is analogous to being at the bottom of a small valley when there is a deeper valley close by
Chemical,Thermal,Nuclear Fission,"The splitting of the nucleus of an atom into parts (lighter nuclei) often producing free neutrons and other smaller nuclei, which may eventually produce photons (in the form of gamma rays). Fission of heavy elements is an exothermic reaction which can release large amounts of energy both as electromagnetic radiation and as kinetic energy of the fragments (heating the bulk material where fission takes place)."
Chemical,Thermal,Nuclear Fusion,The generation of power by the fusing together of atomic nuclei to form a heavier nucleus.
Chemical,Thermal,Nucleation,"The extremely localised budding of a distinct thermodynamic phase. Some examples of phases that may form via nucleation in liquids are gaseous bubbles, crystals or glassy regions. Creation of liquid droplets in saturated vapor is also characterized by nucleation. Most nucleation processes are physical, rather than chemical, but a few exceptions do exist (e.g. electrochemical nucleation)."
Chemical,Thermal,Oxidation,"A chemical reaction that involves the loss of electrons or an increase in the oxidation state by a molecule, atom or ion."
Chemical,Thermal,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Chemical,Thermal,Pyrophoricity,A pyrophoric substance ignites spontaneously in air at or below 55 degrees centigrade. The creation of sparks from metals is based on the pyrophoricity of small metal particles. The sparking mechanism in cigarette lighters is an example. Some liquids and gases are phyrophoric.
Chemical,Thermal,Radioactive Decay,The process in which an unstable atomic nucleus spontaneously loses energy by emitting ionizing particles and radiation.
Chemical,Thermal,Redox Reactions,"Redox (shorthand for oxidation-reduction) reactions describe all chemical reactions in which atoms have their oxidation number (oxidation state) changed. This can be either a simple redox process, such as the oxidation of carbon to yield carbon dioxide (CO2) or the reduction of carbon by hydrogen to yield methane (CH4), or a complex process such as the oxidation of sugar(C6H12O6) in the human body through a series of complex electron transfer processes."
Chemical,Thermal,Solvation,"(commonly called dissolution) The process of attraction and association of molecules of a solvent with molecules or ions of a solute. As ions dissolve in a solvent they spread out and become surrounded by solvent molecules. The bigger the ion, the more solvent molecules are able to surround it and the more it becomes solvated."
Electrical,Acoustic,Biefeld-Brown Effect,An electrical effect that produces an ionic wind that transfers its momentum to surrounding neutral particles
Electrical,Acoustic,Capacitance,The property of a device or material medium to store an electric charge as a result of an electric potential. The most common form of charge storage device is a two-plate capacitor.
Electrical,Acoustic,Catapult Effect,A current passing through two wires connected by a loose wire in a magnetic field causes the loose wire to be catapulted horizontally away from the magnetic field due to the magnetic forces acting in the wires and in the magnetic field itself.
Electrical,Acoustic,Converse Piezoelectric Effect,"Materials exhibiting the direct piezoelectric effect (the production of electricity when stress is applied) also exhibit the converse piezoelectric effect (the production of stress and/or strain when an electric field is applied). For example, lead zirconate titanate crystals will exhibit a maximum shape change of about 0.1% of the original dimension."
Electrical,Acoustic,Corona Discharge,"An electrical discharge brought on by the ionization of a fluid surrounding a conductor, which occurs when the potential gradient (the strength of the electric field) exceeds a certain value, but conditions are insufficient to cause complete electrical breakdown or arcing."
Electrical,Acoustic,Dielectric,An electrical insulator that can be polarized by an applied electric field.Can be used for the storage and dissipation of electric and magnetic energy.
Electrical,Acoustic,Electret,"An Electret is a dielectric material that has a quasi-permanent electric charge or dipole polarisation. An electret generates internal and external electric fields, and is the electrostatic equivalent of a permanent magnet."
Electrical,Acoustic,Electric Arc,"An electrical breakdown of a gas which produces an ongoing plasma discharge, resulting from a current flowing through normally nonconductive media such as air"
Electrical,Acoustic,Electric Sonic Amplitude,"Occurs in colloids, emulsions and other heterogeneous fluids under the influence of an oscillating electric field. This field moves particles relative to the liquid, which generates ultrasound."
Electrical,Acoustic,Electric Spark,"A type of electrostatic discharge that occurs when an electric field creates an ionized electrically conductive channel in air producing a brief emission of light and sound. A spark is formed when the electric field strength exceeds the dielectric field strength of air. This causes an increase in the number of free electrons and ions in the air, temporarily causing the air to become an electrical conductor through dielectric breakdown."
Electrical,Acoustic,Electron Avalanche,"A process in which a number of free electrons in a medium (usually a gas) are subjected to strong acceleration by an electric field, ionizing the medium's atoms by collision (impact ionization), forming 'new' electrons to undergo the same process in successive cycles. Electron avalanches are essential to dielectric breakdown of gases. The process can culminate in corona discharges, streamers, leaders, or in a spark or continuous arc that completely bridges the gap."
Electrical,Acoustic,Electrostatic Discharge,The sudden and momentary electric current that flows between two objects at different electrical potentials
Electrical,Acoustic,Ion Wind,"A stream of ionized fluid generated by a strong electric field (typically a sharp conductive point) exceeding the corona discharge inception voltage gradient, ionizing the air about the tip, creating a small jet of plasma. Ionised air molecules have the same polarity as the charged tip, so are replused as a like-charged ion cloud, that expands due to the repulsion between ions, creating an electric 'wind' and a hissing noise due to pressure change."
Electrical,Acoustic,Lorentz Force,"The force on a point charge due to electromagnetic fields. When a wire carrying an electrical current is placed in a magnetic field, each of the moving charges, which comprise the current, experiences the Lorentz force, and together they can create a macroscopic force on the wire (sometimes called the Laplace force)."
Electrical,Acoustic,Surface Acoustic Wave,"(SAW) An acoustic wave traveling along the surface of a material having some elasticity, with an amplitude that typically decays exponentially with the depth of the substrate. This kind of wave is commonly used in devices called SAW devices in electronics circuits."
Electrical,Chemical,Corona Discharge,"An electrical discharge brought on by the ionization of a fluid surrounding a conductor, which occurs when the potential gradient (the strength of the electric field) exceeds a certain value, but conditions are insufficient to cause complete electrical breakdown or arcing."
Electrical,Chemical,Electrodeposition,"The process of using electrical current to reduce cations of a desired material from a solution and coat a conductive object with a thin layer of the material, such as a metal. Primarily used for depositing a layer of material to bestow a desired property (e.g., abrasion and wear resistance, corrosion protection, lubricity, aesthetic qualities, etc.) to a surface that otherwise lacks that property. Another application uses electroplating to build up thickness on undersized parts."
Electrical,Chemical,Electrolysis,"A method of separating chemically bonded elements and compounds by passing an electric current through them. Electrolysis involves the passage of an electric current through an ionic substance that is either molten or dissolved in a suitable solvent, resulting in chemical reactions at the electrodes."
Electrical,Chemical,Electrorheological Effect,"Electrorheological (ER) fluids are suspensions of extremely fine non-conducting particles (up to 50 micrometres diameter) in an electrically insulating fluid. The apparent viscosity of ER fluids changes reversibly by an order of up to 100,000 in response to an electric field. A typical ER fluid can go from the consistency of a liquid to that of a gel, and back, with response times of the order of ms. Sometimes called the Winslow Effect."
Electrical,Chemical,Electroviscous Effect,Change in a liquid's viscosity induced by a strong electrostatic field.
Electrical,Chemical,Electrowetting,(or Electrocapillary Effect) The modification of the wetting properties of a hydrophobic surface with an applied electric field.
Electrical,Chemical,Ionisation,The physical process of converting an atom or molecule into an ion by adding or removing charged particles such as electrons or other ions.
Electrical,Chemical,Liquid Crystals,"Substances that exhibit a phase of matter that has properties between those of a conventional liquid, and those of a solid crystal."
Electrical,Electrical,Auger Effect,"When an electron is removed from a core level of an atom, leaving a vacancy, an electron from a higher energy level may fall into the vacancy, resulting in a release of energy. Although sometimes this energy is released in the form of an emitted photon, in the case of the Auger Effect, the energy is instead transferred to another electron, which is ejected from the atom."
Electrical,Electrical,Avalanche Breakdown,"A phenomenon that can occur in both insulating and semiconducting materials (solids, liquids, or gases), allowing very large currents to flow within materials which are otherwise good insulators. Occurs when the electric field in the material is great enough to accelerate free electrons to the point that, when they strike atoms in the material, they can knock other electrons free: the number of free electrons is thus increased rapidly as newly generated particles become part of the process."
Electrical,Electrical,Capacitance,The property of a device or material medium to store an electric charge as a result of an electric potential. The most common form of charge storage device is a two-plate capacitor.
Electrical,Electrical,Conduction (electrical),"The movement of electrically charged particles through a transmission medium (electrical conductor). The movement of charge constitutes an electric current. The charge transport may result as a response to an electric field, or as a result of a concentration gradient in carrier density, that is, by diffusion ."
Electrical,Electrical,Corbino Effect,"A phenomenon similar to the Hall effect, but a disk-shaped metal sample plane of the disk, produces a 'circular' current through the disk."
Electrical,Electrical,Corona Discharge,"An electrical discharge brought on by the ionization of a fluid surrounding a conductor, which occurs when the potential gradient (the strength of the electric field) exceeds a certain value, but conditions are insufficient to cause complete electrical breakdown or arcing."
Electrical,Electrical,Debye-Falkenhagen Effect,The increase in the conductance of an electrolytic solution when the applied voltage has a very high frequency
Electrical,Electrical,Dielectric,An electrical insulator that can be polarized by an applied electric field.Can be used for the storage and dissipation of electric and magnetic energy.
Electrical,Electrical,Dielectric Permittivity,"The measure of how much resistance is encountered when forming an electric field in a medium. In other words, permittivity is a measure of how an electric field affects, and is affected by, a dielectric medium. Permittivity is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or 'permit') an electric field."
Electrical,Electrical,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Electrical,Electrical,Electric Field,The space surrounding an electric charge or in the presence of a time-varying magnetic field has a property called an electric field (that can also be equated to electric flux density). This electric field exerts a force on other electrically charged objects.
Electrical,Electrical,Electric Spark,"A type of electrostatic discharge that occurs when an electric field creates an ionized electrically conductive channel in air producing a brief emission of light and sound. A spark is formed when the electric field strength exceeds the dielectric field strength of air. This causes an increase in the number of free electrons and ions in the air, temporarily causing the air to become an electrical conductor through dielectric breakdown."
Electrical,Electrical,Electrical Resistance,The degree to which an object opposes an electric current flowing through it (usually measured in Ohms). A function of both its physical geometry and the resistivity of the material the object is made from.
Electrical,Electrical,Electromagnetic Induction,The generation of electromotive force (EMF) in a current-carrying conductor exposed to a changing magnetic field
Electrical,Electrical,Electron Avalanche,"A process in which a number of free electrons in a medium (usually a gas) are subjected to strong acceleration by an electric field, ionizing the medium's atoms by collision (impact ionization), forming 'new' electrons to undergo the same process in successive cycles. Electron avalanches are essential to dielectric breakdown of gases. The process can culminate in corona discharges, streamers, leaders, or in a spark or continuous arc that completely bridges the gap."
Electrical,Electrical,Electrostatic Discharge,The sudden and momentary electric current that flows between two objects at different electrical potentials
Electrical,Electrical,Electrostatic Induction,"A redistribution of electrical charge in an object, caused by the influence of nearby charges. Electrostatic generators, such as the Wimshurst machine, the Van de Graaff generator and the electrophorus, use this principle. Electrostatic induction should not be confused with electromagnetic induction; both are often referred to as 'induction'."
Electrical,Electrical,Ettingshausen Effect,"(or Second Nernst-Ettingshausen Effect) A thermoelectric (or thermomagnetic) phenomenon that affects electric current in a conductor when a magnetic field is present, resulting in a potential difference is induced normal to both the direction of the magnetic field and the current. Alternately, a temperature gradient is induced. The inverse of the Nernst Effect."
Electrical,Electrical,Fast Ion Conductor,"(also known as solid electrolytes and superionic conductors) Solid state electrical conductors which conduct due to the movement of ions through voids (or empty crystallographic positions)in their crystal lattice. One component of the structure, cationic or anionic, is essentially free to move throughout the structure, acting as charge carrier."
Electrical,Electrical,Hall Effect,"The potential difference (Hall voltage) on the opposite sides of an electrical conductor through which there is an electric current, created by a magnetic field applied perpendicularly to the current."
Electrical,Electrical,Induction Heating,"The process of heating an electrically conducting object (usually a metal) by electromagnetic induction, where eddy currents are generated within the metal and resistance leads to Joule heating of the metal."
Electrical,Electrical,Ionisation,The physical process of converting an atom or molecule into an ion by adding or removing charged particles such as electrons or other ions.
Electrical,Electrical,Josephson Effect,"The phenomenon of current flow across two weakly coupled superconductors, separated by a very thin insulating barrier."
Electrical,Electrical,Magnetohydrodynamic Effect,"A magnetic field can induce currents in a moving conductive fluid, which create forces on the fluid, and also change the magnetic field itself."
Electrical,Electrical,Magnetoresistance,The change of electrical resistance of a material when an external magnetic field is applied. Also called ordinary magnetoresistance (OMR).
Electrical,Electrical,Meissner Effect,(also known as the Jared-Ochsenfeld effect) The expulsion of a magnetic field from a superconductor.
Electrical,Electrical,Photoconductivity,"An optical and electrical phenomenon in which a material becomes more electrically conductive due to the absorption of electromagnetic radiation such as visible light, ultraviolet light, infrared light, or gamma radiation."
Electrical,Electrical,Pool-Frenkel Effect,(or Frenkel-Poole emission) A means by which an electrical insulator can conduct electricity in the presence of a large electric field.
Electrical,Electrical,Skin Effect,"The tendency of an alternating electric current (AC) to distribute itself within a conductor so that the current density near the surface of the conductor is greater than that at its core. That is, the electric current tends to flow at the 'skin' of the conductor. The skin effect causes the effective resistance of the conductor to increase with the frequency of the current. Skin effect is due to eddy currents set up by the AC current."
Electrical,Electrical,Superconductivity,"An electrical resistance of exactly zero which occurs in certain materials below a characteristic temperature. Like ferromagnetism and atomic spectral lines, superconductivity is a quantum mechanical phenomenon. It is also characterized by a phenomenon called the Meissner effect, the ejection of any sufficiently weak magnetic field from the interior of the superconductor as it transitions into the superconducting state."
Electrical,Electrical,Surface Acoustic Wave,"(SAW) An acoustic wave traveling along the surface of a material having some elasticity, with an amplitude that typically decays exponentially with the depth of the substrate. This kind of wave is commonly used in devices called SAW devices in electronics circuits."
Electrical,Electrical,Townsend Discharge,"A gas ionization process where an initially very small amount of free electrons, accelerated by a sufficiently strong electric field, give rise to electrical conduction through a gas by avalanche multiplication: when the number of free charges drops or the electric field weakens, the phenomena ceases."
Electrical,Electromagnetic,Cathodoluminescence,"An optical and electrical phenomenon whereby a beam of electrons is generated by an electron gun (e.g. cathode ray tube) and then impacts on a luminescent material such as a phosphor, causing the material to emit visible light. The most common example is the screen of a television."
Electrical,Electromagnetic,Corona Discharge,"An electrical discharge brought on by the ionization of a fluid surrounding a conductor, which occurs when the potential gradient (the strength of the electric field) exceeds a certain value, but conditions are insufficient to cause complete electrical breakdown or arcing."
Electrical,Electromagnetic,Cyclotron Radiation,"Electromagnetic radiation emitted by moving charged particles deflected by a magnetic field. Cyclotron radiation is emitted by all charged particles travelling through magnetic fields, not just those in cyclotrons."
Electrical,Electromagnetic,Electric Arc,"An electrical breakdown of a gas which produces an ongoing plasma discharge, resulting from a current flowing through normally nonconductive media such as air"
Electrical,Electromagnetic,Electric Glow Discharge,"A type of plasma formed by passing a current at 100 V to several kV through a gas at low pressure, usually argon or another noble gas. It is found in products such as fluorescent lights and plasma-screen televisions, and is used in plasma physics and analytical chemistry."
Electrical,Electromagnetic,Electro-Optic Effects,"A change in the optical properties of a material in response to an electric field that varies slowly compared with the frequency of light. The term encompasses a number of distinct phenomena, which can be subdivided into a) change of the absorption (electroabsorption, Franz-Keldysh effect, Quantum-confined Stark effect, electro-chromatic effect) and b) change of the refractive index(Pockels effect, Kerr Effect, electro-gyration)"
Electrical,Electromagnetic,Electrochemiluminescence,"A kind of luminescence produced during electrochemical reactions in solutions. In electrogenerated chemiluminescence, electrochemically generated intermediates undergo a highly exergonic reaction to produce an electronically excited state that then emits light."
Electrical,Electromagnetic,Electrochromism,"A type of electro-optic effect. The creation of an absorption band at some wavelengths in a material in response to an electric field, which gives rise to a change in colour (i.e. the phenomenon displayed by some chemical species of reversibly changing color when a burst of charge is applied)."
Electrical,Electromagnetic,Electroluminescence,"An optical phenomenon and electrical phenomenon in which a material emits light in response to an electric current passed through it, or to a strong electric field."
Electrical,Electromagnetic,Electron Avalanche,"A process in which a number of free electrons in a medium (usually a gas) are subjected to strong acceleration by an electric field, ionizing the medium's atoms by collision (impact ionization), forming 'new' electrons to undergo the same process in successive cycles. Electron avalanches are essential to dielectric breakdown of gases. The process can culminate in corona discharges, streamers, leaders, or in a spark or continuous arc that completely bridges the gap."
Electrical,Electromagnetic,Electrostatic Discharge,The sudden and momentary electric current that flows between two objects at different electrical potentials
Electrical,Electromagnetic,Franz-Keldysh Effect,A change in optical absorption by a semiconductor when an electric field is applied. Used to create electroabsorption modulators.
Electrical,Electromagnetic,Kerr Effect,"(or the quadratic electro-optic effect) A change in the refractive index of a material in response to an electric field. Distinct from the Pockels effect in that the induced index change is directly proportional to the square of the electric field instead of to the magnitude of the field. All materials show a Kerr effect, but certain liquids display the effect more strongly than other materials."
Electrical,Electromagnetic,Luminescence,"The generation of light that usually occurs at low temperatures, and is thus a form of cold body radiation. It can be caused by chemical reactions, electrical energy, subatomic motions, or stress on a crystal. This distinguishes luminescence from incandescence, which is light generated by high temperatures."
Electrical,Electromagnetic,Pockels Effect,"Produces birefringence in an optical medium induced by a constant or varying electric field. Used to make Pockels cells, which are voltage-controlled wave plates."
Electrical,Electromagnetic,Synchrotron Radiation,"Electromagnetic radiation generated by the acceleration of ultrarelativistic (i.e., moving near the speed of light) charged particles through magnetic fields."
Electrical,Electromagnetic,Thermal Radiation,Electromagnetic radiation emitted from the surface of an object due to the object's temperature.
Electrical,Kinetic,Biefeld-Brown Effect,An electrical effect that produces an ionic wind that transfers its momentum to surrounding neutral particles
Electrical,Kinetic,Catapult Effect,A current passing through two wires connected by a loose wire in a magnetic field causes the loose wire to be catapulted horizontally away from the magnetic field due to the magnetic forces acting in the wires and in the magnetic field itself.
Electrical,Kinetic,Converse Piezoelectric Effect,"Materials exhibiting the direct piezoelectric effect (the production of electricity when stress is applied) also exhibit the converse piezoelectric effect (the production of stress and/or strain when an electric field is applied). For example, lead zirconate titanate crystals will exhibit a maximum shape change of about 0.1% of the original dimension."
Electrical,Kinetic,Corona Discharge,"An electrical discharge brought on by the ionization of a fluid surrounding a conductor, which occurs when the potential gradient (the strength of the electric field) exceeds a certain value, but conditions are insufficient to cause complete electrical breakdown or arcing."
Electrical,Kinetic,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Electrical,Kinetic,Electric Field,The space surrounding an electric charge or in the presence of a time-varying magnetic field has a property called an electric field (that can also be equated to electric flux density). This electric field exerts a force on other electrically charged objects.
Electrical,Kinetic,Electro-Osmosis,"(also called electroendosmosis) The motion of polar liquid through a membrane or other porous structure (generally, along charged surfaces of any shape and also through non-macroporous materials which have ionic sites and allow for water uptake, the latter sometimes referred to as 'chemical porosity' ) under the influence of an applied electric field."
Electrical,Kinetic,Electro-Osmotic Flow,"The motion of liquid induced by an applied potential across a capillary tube or microchannel. Electroosmotic flow is an essential component in chemical separation techniques, notably capillary electrophoresis. Electroosmotic flow can occur in natural unfiltered water, as well as buffered solutions."
Electrical,Kinetic,Electrohydrodynamics,"Includes the following types of particle and fluid transport mechanisms:Electrophoresis, electrokinesis, dielectrophoresis, electro-osmosis, and electrorotation. In general, the phenomena relate to the direct conversion of electrical energy into kinetic energy, and vice versa."
Electrical,Kinetic,Electrostatics,The phenomena arising from stationary or slowly moving electric charges
Electrical,Kinetic,Electrostriction,"A property of all electrical non-conductors, or dielectrics, that causes them to change their shape under the application of an electric field. All dielectrics exhibit some electrostriction, but certain engineered ceramics, known as relaxor ferroelectrics, have extraordinarily high electrostrictive constants,e.g. Lead magnesium niobate (PMN), Lead magnesium niobate-lead titanate (PMN-PT), Lead lanthanum zirconate titanate (PLZT)."
Electrical,Kinetic,Electrowetting,(or Electrocapillary Effect) The modification of the wetting properties of a hydrophobic surface with an applied electric field.
Electrical,Kinetic,Ion Wind,"A stream of ionized fluid generated by a strong electric field (typically a sharp conductive point) exceeding the corona discharge inception voltage gradient, ionizing the air about the tip, creating a small jet of plasma. Ionised air molecules have the same polarity as the charged tip, so are replused as a like-charged ion cloud, that expands due to the repulsion between ions, creating an electric 'wind' and a hissing noise due to pressure change."
Electrical,Kinetic,Johnsen-Rahbek Effect,An attractive force that occurs when an electric potential is applied across the boundary between a metallic surface and the surface of a semiconducting material. The magnitude of the force depends on the voltage and the specific materials involved.
Electrical,Kinetic,Lorentz Force,"The force on a point charge due to electromagnetic fields. When a wire carrying an electrical current is placed in a magnetic field, each of the moving charges, which comprise the current, experiences the Lorentz force, and together they can create a macroscopic force on the wire (sometimes called the Laplace force)."
Electrical,Kinetic,Magnetohydrodynamic Effect,"A magnetic field can induce currents in a moving conductive fluid, which create forces on the fluid, and also change the magnetic field itself."
Electrical,Kinetic,Meissner Effect,(also known as the Jared-Ochsenfeld effect) The expulsion of a magnetic field from a superconductor.
Electrical,Kinetic,Piezoelectric Effect,"Generation of electrical charge in certain solid materials (notably crystals, certain ceramics, and biological matter such as bone, DNA and various proteins) in response to applied mechanical strain. The piezoelectric effect is a reversible process in that materials also exhibit the reverse piezoelectric effect (the internal generation of a mechanical force resulting from an applied electrical field)."
Electrical,Magnetic,Biot-Savart Effect,The generation of a magnetic field by a steady current i.e. an unchanging continual flow of charges (for example through a wire).
Electrical,Magnetic,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Electrical,Magnetic,Electric Field,The space surrounding an electric charge or in the presence of a time-varying magnetic field has a property called an electric field (that can also be equated to electric flux density). This electric field exerts a force on other electrically charged objects.
Electrical,Magnetic,Electromagnetic Induction,The generation of electromotive force (EMF) in a current-carrying conductor exposed to a changing magnetic field
Electrical,Magnetic,Magnetohydrodynamic Effect,"A magnetic field can induce currents in a moving conductive fluid, which create forces on the fluid, and also change the magnetic field itself."
Electrical,Magnetic,Meissner Effect,(also known as the Jared-Ochsenfeld effect) The expulsion of a magnetic field from a superconductor.
Electrical,Magnetic,Superconductivity,"An electrical resistance of exactly zero which occurs in certain materials below a characteristic temperature. Like ferromagnetism and atomic spectral lines, superconductivity is a quantum mechanical phenomenon. It is also characterized by a phenomenon called the Meissner effect, the ejection of any sufficiently weak magnetic field from the interior of the superconductor as it transitions into the superconducting state."
Electrical,Magnetic,Superdiamagnetism,"A phenomenon occurring in certain materials at low temperatures, characterised by the complete absence of magnetic permeability (i.e. a magnetic susceptibility ?v = -1) and the exclusion of the interior magnetic field. Superdiamagnetism is a feature of superconductivity."
Electrical,Mechanical,Biefeld-Brown Effect,An electrical effect that produces an ionic wind that transfers its momentum to surrounding neutral particles
Electrical,Mechanical,Catapult Effect,A current passing through two wires connected by a loose wire in a magnetic field causes the loose wire to be catapulted horizontally away from the magnetic field due to the magnetic forces acting in the wires and in the magnetic field itself.
Electrical,Mechanical,Converse Piezoelectric Effect,"Materials exhibiting the direct piezoelectric effect (the production of electricity when stress is applied) also exhibit the converse piezoelectric effect (the production of stress and/or strain when an electric field is applied). For example, lead zirconate titanate crystals will exhibit a maximum shape change of about 0.1% of the original dimension."
Electrical,Mechanical,Corona Discharge,"An electrical discharge brought on by the ionization of a fluid surrounding a conductor, which occurs when the potential gradient (the strength of the electric field) exceeds a certain value, but conditions are insufficient to cause complete electrical breakdown or arcing."
Electrical,Mechanical,Coulomb's Law,The magnitude of the electrostatic force between two point electric charges is directly proportional to the product of the magnitudes of each charge and inversely proportional to the square of the distance between the charges.
Electrical,Mechanical,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Electrical,Mechanical,Electric Field,The space surrounding an electric charge or in the presence of a time-varying magnetic field has a property called an electric field (that can also be equated to electric flux density). This electric field exerts a force on other electrically charged objects.
Electrical,Mechanical,Electro-Osmosis,"(also called electroendosmosis) The motion of polar liquid through a membrane or other porous structure (generally, along charged surfaces of any shape and also through non-macroporous materials which have ionic sites and allow for water uptake, the latter sometimes referred to as 'chemical porosity' ) under the influence of an applied electric field."
Electrical,Mechanical,Electro-Osmotic Flow,"The motion of liquid induced by an applied potential across a capillary tube or microchannel. Electroosmotic flow is an essential component in chemical separation techniques, notably capillary electrophoresis. Electroosmotic flow can occur in natural unfiltered water, as well as buffered solutions."
Electrical,Mechanical,Electrohydrodynamics,"Includes the following types of particle and fluid transport mechanisms:Electrophoresis, electrokinesis, dielectrophoresis, electro-osmosis, and electrorotation. In general, the phenomena relate to the direct conversion of electrical energy into kinetic energy, and vice versa."
Electrical,Mechanical,Electrorheological Effect,"Electrorheological (ER) fluids are suspensions of extremely fine non-conducting particles (up to 50 micrometres diameter) in an electrically insulating fluid. The apparent viscosity of ER fluids changes reversibly by an order of up to 100,000 in response to an electric field. A typical ER fluid can go from the consistency of a liquid to that of a gel, and back, with response times of the order of ms. Sometimes called the Winslow Effect."
Electrical,Mechanical,Electrostatics,The phenomena arising from stationary or slowly moving electric charges
Electrical,Mechanical,Electrostriction,"A property of all electrical non-conductors, or dielectrics, that causes them to change their shape under the application of an electric field. All dielectrics exhibit some electrostriction, but certain engineered ceramics, known as relaxor ferroelectrics, have extraordinarily high electrostrictive constants,e.g. Lead magnesium niobate (PMN), Lead magnesium niobate-lead titanate (PMN-PT), Lead lanthanum zirconate titanate (PLZT)."
Electrical,Mechanical,Electrowetting,(or Electrocapillary Effect) The modification of the wetting properties of a hydrophobic surface with an applied electric field.
