from,to,result,result_description
Kinetic,Mechanical,Tea Leaf Paradox,"A phenomenon where tea leaves in a cup of tea migrate to the center and bottom of the cup after being stirred rather than being forced to the edges of the cup, as would be expected from a spiral centrifugal force."
Kinetic,Mechanical,Tesla Turbine,"(or boundary layer turbine, cohesion-type turbine or Prandtl layer turbine) A bladeless centrifugal flow turbine expander that uses the boundary layer effect and not a fluid impinging upon the blades as in a conventional turbine. Consists of a set of smooth disks, with nozzles applying a moving gas to the edge of the disk. The gases drag on the disk by viscosity and adhesion of the surface layer of the gas. As the gas slows and adds energy to the disks, it spirals in to the center exhaust. Since the rotor has no projections, it is very sturdy."
Kinetic,Mechanical,Tidal Power,A form of hydropower that converts the energy of tides into electricity or other useful forms of power.
Kinetic,Mechanical,Torsion Spring,"A flexible elastic object that stores mechanical energy when it is twisted. The amount of force (actually torque) it exerts is proportional to the amount it is twisted. A torsion spring is often made from a wire, ribbon, or bar of metal or rubber, while more delicate ones are made of silk, glass, or quartz fibers."
Kinetic,Mechanical,Turbine,"A rotary engine that extracts energy from a fluid flow. The simplest turbines have one moving part, a rotor assembly, which is a shaft with blades attached. Moving fluid acts on the blades, or the blades react to the flow, so that they rotate and impart energy to the rotor. Early turbine examples are windmills and water wheels."
Kinetic,Mechanical,Water Turbine,A rotary engine that takes power from moving water
Kinetic,Mechanical,Wave Power,"The transport of energy by ocean surface waves, and the capture of that energy to do useful work  for example for electricity generation, water desalination, or the pumping of water (into reservoirs)."
Kinetic,Mechanical,Wedge,"A triangular shaped tool, a compound and portable inclined plane. It can be used to separate two objects, or portions of objects, lift an object, or hold an object in place. It operates by converting a force applied to the wide end into forces perpendicular to the inclined surfaces."
Kinetic,Mechanical,Wheel and Axle,A simple torque multiplier consisting of a wheel turned by an axle (or an axle turned by a wheel)
Kinetic,Mechanical,Wind Power,"The conversion of wind energy into a useful form of energy, such as using wind turbines to make electricity, wind mills for mechanical power, wind pumps for pumping water or drainage, or sails to propel ships."
Kinetic,Mechanical,Worm Drive,"A gear arrangement in which a worm (which is a gear in the form of a screw) meshes with a worm gear (which is similar in appearance to a spur gear). Like other gear arrangements, a worm drive can reduce rotational speed or allow higher torque to be transmitted."
Kinetic,Optical,MOEMS,Micro-opto-electromechanical systems (MOEMS) are a special class of Micro-electro-mechanical systems (MEMS) which involves sensing or manipulating optical signals on a very small size scale using integrated mechanical and electrical systems.
Kinetic,Optical,Moiré Interferometry,A technique to study strains and deformations of structural elements with very high accuracy.
Kinetic,Optical,Photoelasticity,A method used to determine the stress distribution in a material based upon changes in birefringence resulting from stress.
Kinetic,Optical,Pressure-sensitive Paint,"A method for measuring air pressure, usually in aerodynamic settings. It is paint which fluoresces in differing intensities depending on the external air pressure being applied to its surface."
Kinetic,Optical,Shadowgraph,"An optical method that reveals non-uniformities in transparent media like air, water, or glass. In principle, we cannot directly see a difference in temperature, a different gas, or a shock wave in the transparent air. However, these disturbances refract light rays, so they can cast shadows. The plume of hot air rising from a fire, for example, can be seen by way of its shadow cast upon a nearby surface by the uniform sunlight."
Kinetic,Thermal,Ablation,"The removal of material from the surface of an object by vaporisation, chipping, or other erosive processes. The term occurs in space physics associated with atmospheric reentry, in glaciology, medicine and passive fire protection. In space vehicle design, ablation is used to both cool and protect mechanical parts and/or payloads that would otherwise be adversely affected by extremely high temperatures."
Kinetic,Thermal,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Kinetic,Thermal,Carnot Cycle,"A particular thermodynamic cycle, modeled on the hypothetical Carnot heat engine. The Carnot cycle is the most efficient cycle possible for converting a given amount of thermal energy into work or, conversely, for using a given amount of work for refrigeration purposes."
Kinetic,Thermal,Coulomb Damping,"A type of constant mechanical damping in which energy is absorbed via sliding friction. Friction generated by the relative motion of the two surfaces that press against each other is a source of energy dissipation. In general, damping is the dissipation of energy from a vibrating system where the kinetic energy is converted into heat by the friction. Coulomb damping is a common damping mechanism that occurs in machinery."
Kinetic,Thermal,Friction Welding,"A class of solid-state welding processes that generates heat through mechanical friction between a moving workpiece and a stationary component, with the addition of a lateral force called 'upset' to plastically displace and fuse the materials. Technically, because no melt occurs, friction welding is not actually a welding process in the traditional sense, but a forging technique."
Kinetic,Thermal,Gas Compressor,"A mechanical device that increases the pressure of a gas by reducing its volume. Compressors are similar to pumps: both increase the pressure on a fluid and both can transport the fluid through a pipe. As gases are compressible, the compressor also reduces the volume of a gas. Liquids are relatively incompressible, so the main action of a pump is to transport liquids."
Kinetic,Thermal,Pulse Tube Refrigerator,A type of cryocooler having no moving parts in the low temperature part of the device making it suitable for a wide variety of applications.
Kinetic,Thermal,Pump,"A device used to move fluids, such as liquids, gases or slurries."
Kinetic,Thermal,Rubber Band Thermodynamics,"Stretching a rubber band will cause it to release heat, while releasing it after it has been stretched will lead it to absorb heat, causing its surroundings to become cooler. Heating causes a rubber band to contract, and cooling causes expansion."
Kinetic,Thermal,Siemens Cycle,"A technique used to cool or liquify gases. A gas is compressed, leading to an increase in its temperature (by Gay-Lussac's law relating pressure and temperature). The compressed gas is then cooled by a heat exchanger, then the cool, compressed gas is allowed to decompress, further cooling it (again by Gay-Lussac's law). This results in a gas (or liquified gas) that is colder than the original and at the same pressure."
Kinetic,Thermal,Stirling Cycle,"A thermodynamic cycle that describes the general class of Stirling devices. The cycle is reversible: if supplied with mechanical power, it can function as a heat pump for heating or refrigeration cooling, or cryogenic cooling. The cycle is a closed-cycle (the working fluid is permanently contained within the thermodynamic system) regenerative (uses an internal heat exchanger) cycle with a gaseous working fluid."
Kinetic,Thermal,Thermal Energy Storage,A number of technologies that store energy in a thermal reservoir for later reuse.
Kinetic,Thermal,Turbulator,A device that turns a laminar flow into a turbulent flow.
Kinetic,Thermal,Wind Chill,"The apparent temperature felt on exposed skin, which is a function of the air temperature and wind speed. The wind chill temperature (often popularly called The wind chill factor) is always lower than the air temperature, except at higher temperatures where wind chill is considered less important."
Magnetic,Acoustic,,
Magnetic,Chemical,Magnetic Pulse Welding,A welding process that uses magnetic forces to drive two workpieces together and weld them together. The welding mechanism is most similar to that in explosion welding.
Magnetic,Electrical,Electrodynamic Bearing,"A system providing contactless electrodynamic suspension of rotating shafts based on the induction of eddy currents in a rotating conductor. When an electrically conducting material is moving in a magnetic field, a current will be generated in the material that counters the change in the magnetic field (known as Lenz' Law). This generates a current that will result in a magnetic field that is oriented opposite to the one from the magnet. The electrically conducting material is thus acting as a magnetic mirror."
Magnetic,Electrical,Inductor,"A passive electrical component that can store energy in a magnetic field created by the electric current passing through it. Typically an inductor is a conducting wire shaped as a coil, the loops helping to create a strong magnetic field inside the coil due to Ampere's Law. Due to the time-varying magnetic field inside the coil, a voltage is induced, according to Faraday's law of electromagnetic induction, which by Lenz's Law opposes the change in current that created it."
Magnetic,Electrical,Magnetometer,An instrument used to measure the strength and/or direction of the magnetic field.
Magnetic,Electrical,Tomography,"Imaging by sections or sectioning, through the use of any kind of penetrating wave. The method is used in radiology, archaeology, biology, geophysics, oceanography, materials science, astrophysics and other sciences."
Magnetic,Electromagnetic,Tomography,"Imaging by sections or sectioning, through the use of any kind of penetrating wave. The method is used in radiology, archaeology, biology, geophysics, oceanography, materials science, astrophysics and other sciences."
Magnetic,Kinetic,Coilgun,A type of synchronous linear electric motor that consists of one or more electromagnetic coils used to accelerate a magnetic projectile to high velocity.
Magnetic,Kinetic,Electromagnetic Propulsion,"The principle of accelerating an object by using a flowing electrical current and magnetic fields. The electrical current is used to either create an opposing magnetic field, or to charge a fluid, which can then be repelled."
Magnetic,Kinetic,Electropermanent Magnet,"A type of magnet which consists of both an electromagnet and a dual material permanent magnet, in which the magnetic field produced by the electromagnet is used to change the magnetisation of the permanent magnet. Allows creating controllable permanent magnets where the magnetic effect can be maintained without requiring a continuous supply of electrical energy."
Magnetic,Kinetic,Ferrofluid,"A liquid which becomes strongly magnetised in the presence of a magnetic field. Ferrofluids are colloidal mixtures composed of nanoscale ferromagnetic, or ferrimagnetic, particles suspended in a carrier fluid, usually an organic solvent or water. The ferromagnetic nano-particles are coated with a surfactant to prevent their agglomeration (due to van der Waals and magnetic forces)."
Magnetic,Kinetic,Ferromagnetic Powder,Ferromagnetic material in a powdered or finely divided form. Ferromagnetic materials (such as iron) form permanent magnets and/or exhibit strong interactions with magnets. Ferromagnetic materials lose their ferromagnetic properties above a characteristic temperature (the Curie Point).
Magnetic,Kinetic,Galvanometer,"An analog electromechanical transducer that produces a rotary deflection, through a limited arc, in response to electric current flowing through its coil."
Magnetic,Kinetic,Linear Motor,Essentially a multi-phase alternating current (AC) electric motor that has had its stator 'unrolled' so that instead of producing a torque (rotation) it produces a linear force along its length.
Magnetic,Kinetic,Maglev,"(magnetic levitation) A system of transportation that suspends, guides and (usually) propels vehicles, predominantly trains, using magnetic forces."
Magnetic,Kinetic,Magnetic Pulse Welding,A welding process that uses magnetic forces to drive two workpieces together and weld them together. The welding mechanism is most similar to that in explosion welding.
Magnetic,Kinetic,Magnetic River,"An electrodynamic suspension magnetic levitation system consisting of a thin conductive plate on an AC linear induction motor. Transverse flux and geometry, gives lift, stability and propulsion. The levitation is 5 axis stable, and the 6th axis neutrally stable, or can be biased to accelerate in either way along the motor. Laterally it exhibits a 'river bank' effect, where moving the plate sideways causes it to rise on that side so that it tries to return to the centre line under gravity."
Magnetic,Kinetic,Magnetic Shape Memory,"Magnetic shape memory (MSM) alloys, or ferromagnetic shape memory alloys (FSMA), are ferromagnetic materials exhibiting large changes in shape and size under the influence of an applied magnetic field due to martensitic phase transformation."
Magnetic,Kinetic,Microfluidic Pump,Devices that can control and manipulate small fluid volumes. Typically this term refers to pumps with functional dimensions in the micrometer range.
Magnetic,Kinetic,Shape Memory Polymer,"Polymeric smart materials that have the ability to return from a deformed state (temporary shape) to their original (permanent) shape induced by an external stimulus, such as temperature change. SMPs can retain two or sometimes three shapes, and the transition between those is induced by temperature, electric field, or magnetic field, light or solution."
Magnetic,Magnetic,Electrodynamic Bearing,"A system providing contactless electrodynamic suspension of rotating shafts based on the induction of eddy currents in a rotating conductor. When an electrically conducting material is moving in a magnetic field, a current will be generated in the material that counters the change in the magnetic field (known as Lenz' Law). This generates a current that will result in a magnetic field that is oriented opposite to the one from the magnet. The electrically conducting material is thus acting as a magnetic mirror."
Magnetic,Magnetic,Electropermanent Magnet,"A type of magnet which consists of both an electromagnet and a dual material permanent magnet, in which the magnetic field produced by the electromagnet is used to change the magnetisation of the permanent magnet. Allows creating controllable permanent magnets where the magnetic effect can be maintained without requiring a continuous supply of electrical energy."
Magnetic,Magnetic,Halbach Array,"A special arrangement of permanent magnets that augments the magnetic field on one side of the array while cancelling the field to near zero on the other side. Has many applications ranging from the humble refrigerator magnet through industrial applications such as the brushless AC motor and magnetic coupling, to high-tech applications such as wiggler magnets used in particle accelerators and free electron lasers."
Magnetic,Mechanical,Coilgun,A type of synchronous linear electric motor that consists of one or more electromagnetic coils used to accelerate a magnetic projectile to high velocity.
Magnetic,Mechanical,Eddy Current Damping,The use of eddy currents to provide a damping effect.
Magnetic,Mechanical,Electrodynamic Bearing,"A system providing contactless electrodynamic suspension of rotating shafts based on the induction of eddy currents in a rotating conductor. When an electrically conducting material is moving in a magnetic field, a current will be generated in the material that counters the change in the magnetic field (known as Lenz' Law). This generates a current that will result in a magnetic field that is oriented opposite to the one from the magnet. The electrically conducting material is thus acting as a magnetic mirror."
Magnetic,Mechanical,Electromagnetic Propulsion,"The principle of accelerating an object by using a flowing electrical current and magnetic fields. The electrical current is used to either create an opposing magnetic field, or to charge a fluid, which can then be repelled."
Magnetic,Mechanical,Electropermanent Magnet,"A type of magnet which consists of both an electromagnet and a dual material permanent magnet, in which the magnetic field produced by the electromagnet is used to change the magnetisation of the permanent magnet. Allows creating controllable permanent magnets where the magnetic effect can be maintained without requiring a continuous supply of electrical energy."
Magnetic,Mechanical,Ferrofluid,"A liquid which becomes strongly magnetised in the presence of a magnetic field. Ferrofluids are colloidal mixtures composed of nanoscale ferromagnetic, or ferrimagnetic, particles suspended in a carrier fluid, usually an organic solvent or water. The ferromagnetic nano-particles are coated with a surfactant to prevent their agglomeration (due to van der Waals and magnetic forces)."
Magnetic,Mechanical,Ferromagnetic Powder,Ferromagnetic material in a powdered or finely divided form. Ferromagnetic materials (such as iron) form permanent magnets and/or exhibit strong interactions with magnets. Ferromagnetic materials lose their ferromagnetic properties above a characteristic temperature (the Curie Point).
Magnetic,Mechanical,Galvanometer,"An analog electromechanical transducer that produces a rotary deflection, through a limited arc, in response to electric current flowing through its coil."
Magnetic,Mechanical,Halbach Array,"A special arrangement of permanent magnets that augments the magnetic field on one side of the array while cancelling the field to near zero on the other side. Has many applications ranging from the humble refrigerator magnet through industrial applications such as the brushless AC motor and magnetic coupling, to high-tech applications such as wiggler magnets used in particle accelerators and free electron lasers."
Magnetic,Mechanical,Linear Motor,Essentially a multi-phase alternating current (AC) electric motor that has had its stator 'unrolled' so that instead of producing a torque (rotation) it produces a linear force along its length.
Magnetic,Mechanical,Maglev,"(magnetic levitation) A system of transportation that suspends, guides and (usually) propels vehicles, predominantly trains, using magnetic forces."
Magnetic,Mechanical,Magnetic Pulse Welding,A welding process that uses magnetic forces to drive two workpieces together and weld them together. The welding mechanism is most similar to that in explosion welding.
Magnetic,Mechanical,Magnetic River,"An electrodynamic suspension magnetic levitation system consisting of a thin conductive plate on an AC linear induction motor. Transverse flux and geometry, gives lift, stability and propulsion. The levitation is 5 axis stable, and the 6th axis neutrally stable, or can be biased to accelerate in either way along the motor. Laterally it exhibits a 'river bank' effect, where moving the plate sideways causes it to rise on that side so that it tries to return to the centre line under gravity."
Magnetic,Mechanical,Magnetic Shape Memory,"Magnetic shape memory (MSM) alloys, or ferromagnetic shape memory alloys (FSMA), are ferromagnetic materials exhibiting large changes in shape and size under the influence of an applied magnetic field due to martensitic phase transformation."
Magnetic,Mechanical,Magnetorheological Elastomer,"(or magnetosensitive elastomers) A class of solids that consist of polymeric matrix with embedded micro- or nano-sized ferromagnetic particles such as carbonyl iron. As a result of this composite microstructure, the mechanical properties of these materials can be controlled by the application of magnetic field."
Magnetic,Mechanical,Magnetorheological Fluid,"A suspension of micrometer-sized magnetic particles in a carrier fluid, usually a type of oil. When subjected to a magnetic field, the fluid greatly increases its apparent viscosity, to the point of becoming a viscoelastic solid. The yield stress of the fluid when in its active ('on') state can be controlled very accurately by varying the magnetic field intensity, hence the fluid's ability to transmit force can be controlled with an electromagnet, which gives rise to its many possible control-based applications."
Magnetic,Mechanical,Microfluidic Pump,Devices that can control and manipulate small fluid volumes. Typically this term refers to pumps with functional dimensions in the micrometer range.
Magnetic,Mechanical,Shape Memory Polymer,"Polymeric smart materials that have the ability to return from a deformed state (temporary shape) to their original (permanent) shape induced by an external stimulus, such as temperature change. SMPs can retain two or sometimes three shapes, and the transition between those is induced by temperature, electric field, or magnetic field, light or solution."
Magnetic,Mechanical,Spin-stabilized Magnetic Levitation,"A phenomenon of magnetic levitation whereby a magnet or array of magnets is levitated via magnetic forces above another magnet or array of magnets, and stabilised by gyroscopic effect due to a spin that is neither too fast, nor too slow."
Magnetic,Optical,Tomography,"Imaging by sections or sectioning, through the use of any kind of penetrating wave. The method is used in radiology, archaeology, biology, geophysics, oceanography, materials science, astrophysics and other sciences."
Magnetic,Thermal,Magnetic Refrigeration,"A cooling technology based on the magnetocaloric effect. This technique can be used to attain extremely low temperatures (well below 1 K), as well as the ranges used in common refrigerators, depending on the design of the system."
Magnetic,Thermal,Thermomagnetic Convection,"Ferrofluids can be used to transfer heat, since heat and mass transport in such magnetic fluids can be controlled using an external magnetic field."
Mechanical,Acoustic,Acoustics,"The the use of structures or other systems to affect the generation, propagation and reception of mechanical waves and vibrations."
Mechanical,Acoustic,Aerofoil,"The shape of a wing or blade (of a propeller, rotor or turbine) or sail as seen in cross-section. An aerofoil-shaped body moved through a fluid produces a force perpendicular to the motion called lift."
Mechanical,Acoustic,Aerophonics,"The geration of sound using a column of air vibrating in a tube, typically in the case of a musical wind instrument."
Mechanical,Acoustic,Cam,"A projecting part of a rotating wheel or shaft that strikes a lever at one or more points on its circular path. The cam can be a simple tooth, as is used to deliver pulses of power to a steam hammer, for example, or an eccentric disc or other shape that produces a smooth reciprocating (back and forth) motion. A device that translates movement from circular to reciprocating (or sometimes oscillating)"
Mechanical,Acoustic,Eccentric,"A rotating object (typically circular) having its centre offset from the axis of rotation. It can be used, for example, to convert rotary into linear reciprocating motion."
Mechanical,Acoustic,Excentric,A circular disk (eccentric sheave) solidly fixed to a rotating axle with its centre offset from that of the axle.
Mechanical,Acoustic,Swashplate,"A device used in mechanical engineering to translate the motion of a rotating shaft into reciprocating motion, or to translate a reciprocating motion into a rotating one to replace the crankshaft in engine designs."
Mechanical,Acoustic,Theremin,An early electronic musical instrument controlled without contact from the player.
Mechanical,Acoustic,Turbine,"A rotary engine that extracts energy from a fluid flow. The simplest turbines have one moving part, a rotor assembly, which is a shaft with blades attached. Moving fluid acts on the blades, or the blades react to the flow, so that they rotate and impart energy to the rotor. Early turbine examples are windmills and water wheels."
Mechanical,Acoustic,Two-Phase Flow,"A system containing a gas and a liquid with a meniscus separating the two phases (for example, but not limited to, a liquid containing bubbles of gas)."
Mechanical,Acoustic,Velcro,"A brand name of fabric hook-and-loop fasteners. It consists of two layers: a 'hook' side, which is a piece of fabric covered with tiny hooks, and a 'loop' side, which is covered with even smaller and 'hairier' loops. When the two sides are pressed together, the hooks catch in the loops and hold the pieces together. When the layers are separated, the strips make a characteristic 'ripping' sound."
Mechanical,Acoustic,Vibrating String,"A vibrating string produces a sound whose frequency in most cases is constant. Therefore, since frequency characterizes the pitch, the sound produced is a constant note. Vibrating strings are the basis of any string instrument like guitar, cello, or piano."
Mechanical,Chemical,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Mechanical,Chemical,Autofrettage,"A metal fabrication technique in which a pressure vessel is subjected to enormous pressure causing internal portions of the part to yield and resulting in internal compressive residual stresses. The goal of autofrettage is to increase durability of the final product. The technique is commonly used in manufacturing high-pressure pump cylinders, battleship and tank cannon barrels and fuel injection systems for diesel engines."
Mechanical,Chemical,Cold-forming,"A metalworking process in which metal is shaped at a temperature below its recrystallisation temperature, usually at the ambient temperature. Cold forming techniques are usually classified into four major groups: squeezing, bending, drawing, and shearing."
Mechanical,Chemical,Dilatant,"(also termed shear thickening) A material for which viscosity increases with the rate of shear. Such a shear thickening fluid, also known by the acronym STF, is an example of a non-Newtonian fluid."
Mechanical,Chemical,Explosive Welding,"A solid state process where welding is accomplished by accelerating one of the components at extremely high velocity through the use of chemical explosives. Explosion welding can produce a bond between two metals that cannot necessarily be welded by conventional means. The process does not melt either metal, instead it plasticises the surfaces of both metals, causing them to come into intimate contact sufficient to create a weld."
Mechanical,Chemical,Friction Welding,"A class of solid-state welding processes that generates heat through mechanical friction between a moving workpiece and a stationary component, with the addition of a lateral force called 'upset' to plastically displace and fuse the materials. Technically, because no melt occurs, friction welding is not actually a welding process in the traditional sense, but a forging technique."
Mechanical,Chemical,Magnetic Pulse Welding,A welding process that uses magnetic forces to drive two workpieces together and weld them together. The welding mechanism is most similar to that in explosion welding.
Mechanical,Electrical,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Mechanical,Electrical,Eddy Current Damping,The use of eddy currents to provide a damping effect.
Mechanical,Electrical,Electromechanical Film,"A thin membrane whose thickness is related to an electric voltage. It can be used as a pressure sensor, microphone, or a speaker. It can also convert electrical energy to vibration, functioning as an actuator."
Mechanical,Electrical,Microelectromechanical Systems,"(MEMS) is the technology of the very small, and merges at the nano-scale into nanoelectromechanical systems (NEMS) and nanotechnology. MEMS are made up of components between 1 to 100 micrometers in size (i.e. 0.001 to 0.1 mm) and MEMS devices generally range in size from a 20 micrometers (20 millionth of a meter) to a millimeter."
Mechanical,Electrical,Piezoelectric Accelerometer,"An accelerometer that exploits the piezoelectric effect of certain materials to measure dynamic changes in mechanical variables. (e.g. acceleration, vibration, and mechanical shock)"
Mechanical,Electrical,Tidal Power,A form of hydropower that converts the energy of tides into electricity or other useful forms of power.
Mechanical,Electrical,Wave Power,"The transport of energy by ocean surface waves, and the capture of that energy to do useful work  for example for electricity generation, water desalination, or the pumping of water (into reservoirs)."
Mechanical,Electrical,Wind Power,"The conversion of wind energy into a useful form of energy, such as using wind turbines to make electricity, wind mills for mechanical power, wind pumps for pumping water or drainage, or sails to propel ships."
Mechanical,Electromagnetic,Argon Flash,"A method for generating very short and extremely bright flashes of light using a shock wave in argon or other suitable noble gas. The device consists of a vessel filled with argon and a solid explosive charge. The explosion generates a shock wave, which heats the gas to very high temperature (over 104 K). The gas then emits a flash of intense visible and ultraviolet radiation. The amount of explosive can control the intensity of the flash."
Mechanical,Electromagnetic,MOEMS,Micro-opto-electromechanical systems (MOEMS) are a special class of Micro-electro-mechanical systems (MEMS) which involves sensing or manipulating optical signals on a very small size scale using integrated mechanical and electrical systems.
Mechanical,Electromagnetic,Pressure-sensitive Paint,"A method for measuring air pressure, usually in aerodynamic settings. It is paint which fluoresces in differing intensities depending on the external air pressure being applied to its surface."
Mechanical,Electromagnetic,Scanning Probe Microscopy,"A branch of microscopy that forms images of surfaces using a physical probe that scans the specimen. An image of the surface is obtained by mechanically moving the probe in a raster scan of the specimen, line by line, and recording the probe-surface interaction as a function of position."
Mechanical,Kinetic,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Mechanical,Kinetic,Aerofoil,"The shape of a wing or blade (of a propeller, rotor or turbine) or sail as seen in cross-section. An aerofoil-shaped body moved through a fluid produces a force perpendicular to the motion called lift."
Mechanical,Kinetic,Archimedes Screw,A device with a revolving screw-shaped blade inside a cylinder that can be used for pumping liquids and semifluid solids such as coal and grain.
Mechanical,Kinetic,Ballistic Pendulum,"A device for measuring a bullet's momentum, from which it is possible to calculate the velocity and kinetic energy."
Mechanical,Kinetic,Block and Tackle,"A system of two or more pulleys with a rope or cable threaded between them, usually used to lift or pull heavy loads."
Mechanical,Kinetic,Bourdon Spring,"A coiled tube, which, as it expands or contracts due to pressure change, causes a rotation."
Mechanical,Kinetic,Cam,"A projecting part of a rotating wheel or shaft that strikes a lever at one or more points on its circular path. The cam can be a simple tooth, as is used to deliver pulses of power to a steam hammer, for example, or an eccentric disc or other shape that produces a smooth reciprocating (back and forth) motion. A device that translates movement from circular to reciprocating (or sometimes oscillating)"
Mechanical,Kinetic,Cat Righting Reflex,A cat's innate ability to orient itself as it falls in order to land on its feet. Cats use combinations of bending and relative rotation of body sections to minimise angular momentum and orient themselves for a (relatively) safe landing.
Mechanical,Kinetic,Couette Flow,"The laminar flow of a viscous fluid in the space between two parallel plates, one of which is moving relative to the other. The flow is driven by virtue of viscous drag force acting on the fluid and the applied pressure gradient parallel to the plates."
Mechanical,Kinetic,Coulomb Damping,"A type of constant mechanical damping in which energy is absorbed via sliding friction. Friction generated by the relative motion of the two surfaces that press against each other is a source of energy dissipation. In general, damping is the dissipation of energy from a vibrating system where the kinetic energy is converted into heat by the friction. Coulomb damping is a common damping mechanism that occurs in machinery."
Mechanical,Kinetic,Crankshaft,"A bent portion of an axle, or shaft, or an arm keyed at right angles to the end of a shaft, by which motion is imparted to or received from it. Typically used to translate reciprocating linear motion into rotation or vice versa."
Mechanical,Kinetic,Cyclone Separation,"A method of removing particulates from an air, gas or water stream, without the use of filters, through vortex separation. Rotational effects and gravity are used to separate mixtures of solids and fluids."
Mechanical,Kinetic,De Laval Nozzle,"(or convergent-divergent, CD or con-di nozzle) A tube that is pinched in the middle, making a balanced, asymmetric hourglass-shape. Used to accelerate a hot, pressurised gas passing through it to a supersonic speed, and upon expansion, to shape the exhaust flow so that the heat energy propelling the flow is maximally converted into directed kinetic energy. Used in some types of steam turbine, rocket engines and supersonic jet engines."
Mechanical,Kinetic,Differential Windlass,"In a differential windlass (or Chinese windlass) there are two coaxial drums of different radii r and r'. The rope is wound onto one drum while it unwinds from the other, with a movable pulley hanging in the bight between the drums. Since each turn of the crank raises the pulley and attached weight by only p(r - r') / 2, very large mechanical advantages can be obtained."
Mechanical,Kinetic,Dilatant,"(also termed shear thickening) A material for which viscosity increases with the rate of shear. Such a shear thickening fluid, also known by the acronym STF, is an example of a non-Newtonian fluid."
Mechanical,Kinetic,Driven Harmonic Oscillation,Driven harmonic oscillators are damped oscillators further affected by an externally applied force
Mechanical,Kinetic,Eccentric,"A rotating object (typically circular) having its centre offset from the axis of rotation. It can be used, for example, to convert rotary into linear reciprocating motion."
Mechanical,Kinetic,Epicyclic Gearing,"(or planetary gearing) A gear system that consists of one or more outer gears, or planet gears, revolving about a central, or sun gear. Typically, the planet gears are mounted on a movable arm or carrier which itself may rotate relative to the sun gear. Epicyclic gearing systems may also incorporate the use of an outer ring gear or annulus, which meshes with the planet gears."
Mechanical,Kinetic,Excentric,A circular disk (eccentric sheave) solidly fixed to a rotating axle with its centre offset from that of the axle.
Mechanical,Kinetic,Fan,"A device used to produce flow in a gas (and, in principle, a liquid). Mechanical revolving blade fans are made in a wide range of designs. There are three main types of fans used for moving air, axial, centrifugal (also called radial) and cross flow (also called tangential)."
Mechanical,Kinetic,Fin,"A flat surface that extends from an object, usually for the purpose of increasing surface area, increasing stiffness or for obtaining a hydrodynamic or aerodynamic interaction with an external relatively moving fluid."
Mechanical,Kinetic,Flywheel,"A mechanical device with significant moment of inertia used as a storage device for rotational energy. Flywheels resist changes in their rotational speed, which helps steady the rotation of the shaft when a fluctuating torque is exerted on it by its power source such as a piston-based (reciprocating) engine, or when the load placed on it is intermittent (such as a piston pump)."
Mechanical,Kinetic,Foil (fluid mechanics),"A surface designed to maximize lift (force generated perpendicular to the fluid flow) while minimizing drag (force generated in the direction of the fluid flow) in a given range of conditions. Foils may be designed to operate in any fluid, such as air or water."
Mechanical,Kinetic,Four-Bar Linkage,"The simplest movable closed chain linkage. It consists of four bodies, called bars or links, connected in a loop by four joints. Generally, the joints are configured so the links move in parallel planes, and the assembly is called a planar four-bar linkage."
Mechanical,Kinetic,Gear,"A gear (or more correctly a gear wheel) is a rotating machine part having cut teeth, or cogs, which mesh with another toothed part in order to transmit torque. Two or more gears working in tandem are called a transmission and can produce a mechanical advantage through a gear ratio and thus may be considered a simple machine. Geared devices can change the speed, magnitude, and direction of a power source."
Mechanical,Kinetic,Geneva Drive,(or Maltese cross) is a gear mechanism that translates a continuous rotation into an intermittent rotary motion. The rotating drive wheel has a pin that reaches into a slot of the driven wheel advancing it by one step. The drive wheel also has a raised circular blocking disc that locks the driven wheel in position between steps.
Mechanical,Kinetic,Hart's Inversor,A mechanical linkage that can be used to convert circular motion into perfect linear motion (or vice versa). It does this without a sliding guide.
Mechanical,Kinetic,Hydraulic Accumulator,"An energy storage device. A pressure storage reservoir in which a non-compressible hydraulic fluid is held under pressure by an external source. That external source can be, for example, a spring, a raised weight, or a compressed gas."
