action,object,result,result_description
Cool,Divided Solid,Endothermic Reaction,"A process or reaction that absorbs energy typically (but not always) in the form of heat. The concept is frequently applied in physical sciences to e.g. chemical reactions, where thermal energy (heat) is converted to chemical bond energy."
Cool,Divided Solid,Evaporation,The change of the physical state of aggregation (or simply state) of matter from liquid phase to gaseous phase.
Cool,Divided Solid,Evaporative Cooler,A device that cools air through the evaporation of water. Evaporative cooling works by employing water's large enthalpy of vaporisation.
Cool,Divided Solid,Fan,"A device used to produce flow in a gas (and, in principle, a liquid). Mechanical revolving blade fans are made in a wide range of designs. There are three main types of fans used for moving air, axial, centrifugal (also called radial) and cross flow (also called tangential)."
Cool,Divided Solid,Fluid Spray,"When a liquid is dispersed as a stream of droplets (atomisation), it is called a spray. Spray nozzles are used to achieve two primary functions: increase liquid surface area to enhance evaporation, or distribute a liquid over an area."
Cool,Divided Solid,Free Fall,"The motion of a body where gravity is the only or dominant force acting upon it, at least initially."
Cool,Divided Solid,Freezing,"A phase change in which a liquid turns into a solid when its temperature is lowered below its freezing point. Colloquially it is applied to water, but technically it applies to any liquid. All known liquids, except liquid helium, freeze when the temperature is lowered enough."
Cool,Divided Solid,Fusible Alloy,"A fusible alloy is one that is capable of being fused, as well as being liquefied by heat. Examples: Wood's metal, Field's metal, Rose metal, Galinstan, NaK."
Cool,Divided Solid,Graphene,A one-atom-thick planar sheet of sp2-bonded carbon atoms that are densely packed in a honeycomb crystal lattice. It can be visualized as an atomic-scale chicken wire made of carbon atoms and their bonds. The name comes from graphite + -ene; graphite itself consists of many graphene sheets stacked together.
Cool,Divided Solid,Heat Exchanger,"A device built for efficient heat transfer from one medium to another, whether the media are separated by a solid wall so that they never mix, or the media are in direct contact"
Cool,Divided Solid,Heat Pipe,"A heat pipe is a heat transfer mechanism that can transport heat with a very small difference in temperature between the hotter and colder interfaces. Inside a heat pipe, at the hot interface a fluid turns to vapour and the gas naturally flows and condenses on the cold interface. The liquid falls or is moved by capillary action back to the hot interface to evaporate again and repeat the cycle."
Cool,Divided Solid,Heat Sink,"A component or assembly that transfers heat generated within a solid material to a fluid medium, such as air or a liquid."
Cool,Divided Solid,Incandescence,The emission of light (visible electromagnetic radiation) from a hot body due to its temperature.
Cool,Divided Solid,Infrared Radiation,"Infrared (IR) radiation is electromagnetic radiation whose wavelength is longer than that of visible light (400-700 nm), but shorter than that of terahertz radiation (3-300 µm) and microwaves (~30,000 µm). Infrared radiation spans roughly three orders of magnitude (750 nm and 1000 µm)."
Cool,Divided Solid,Intumescent Materials,"An intumescent is a substance which swells as a result of heat exposure, thus increasing in volume, and decreasing in density. Intumescents are typically used in passive fire protection."
Cool,Divided Solid,Latent Heat,"Energy released or absorbed, by a body or a thermodynamic system, during a constant-temperature process. An example is a state of matter change, meaning a phase transition, such as ice melting or water boiling."
Cool,Divided Solid,Loop Heat Pipe,A two-phase heat transfer device that uses capillary action to remove heat from a source and passively move it to a condenser or radiator. Similar to heat pipe but has advantage of being able provide reliable operation over long distance and ability to operate against gravity. Designs range from powerful & large to miniature (micro loop heat pipe). Widely used in both ground based as well as space applications.
Cool,Divided Solid,Magnetic Refrigeration,"A cooling technology based on the magnetocaloric effect. This technique can be used to attain extremely low temperatures (well below 1 K), as well as the ranges used in common refrigerators, depending on the design of the system."
Cool,Divided Solid,Magnetocaloric Effect,"(or Magnetothermal Effect) A magneto-thermodynamic phenomenon in which a reversible change in temperature of a suitable material is caused by exposing the material to a changing magnetic field. Also known as adiabatic demagnetisation. Can be used to attain extremely low temperatures (well below 1 K), as well as the ranges used in common refrigerators."
Cool,Divided Solid,Melting,A process that results in the phase change of a substance from a solid to a liquid. The internal energy of a solid substance is increased (typically by the absorbtion of heat) to a specific temperature (called the melting point) at which it changes to the liquid phase.
Cool,Divided Solid,Mixed Convection,Movement of fluids or gases (or particles carried by fluids or gasses) by a combination of Free and Forced Convection
Cool,Divided Solid,Peltier Effect,"Heat is evolved or absorbed at the junction of two dissimilar metals carrying a small current, depending upon the direction of the current. One of a number of thermoelectric effects (See Seebeck Effect and Thompson Effect)."
Cool,Divided Solid,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Cool,Divided Solid,Pulse Tube Refrigerator,A type of cryocooler having no moving parts in the low temperature part of the device making it suitable for a wide variety of applications.
Cool,Divided Solid,Reflection,"The change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves."
Cool,Divided Solid,Refractory Material,"A (typicaly non-metallic) material that retains its strength at high temperatures. Refractory materials are used in linings for furnaces, kilns, incinerators and reactors. They are also used to make crucibles."
Cool,Divided Solid,Righi-Leduc Effect,A magnetic field applied at right angles to the the direction of a temperature gradient in an electrical conductor will produce a temperature difference at right angles to the direction of both the temperature gradient and the magnetic field.
Cool,Divided Solid,Rubber Band Thermodynamics,"Stretching a rubber band will cause it to release heat, while releasing it after it has been stretched will lead it to absorb heat, causing its surroundings to become cooler. Heating causes a rubber band to contract, and cooling causes expansion."
Cool,Divided Solid,Second Sound,"A quantum mechanical phenomenon in which heat transfer occurs by wave-like motion, rather than by the more usual mechanism of diffusion. Heat takes the place of pressure in normal sound waves. This leads to a very high thermal conductivity. It is known as 'second sound' because the wave motion of heat is similar to the propagation of sound in air."
Cool,Divided Solid,Stirling Cycle,"A thermodynamic cycle that describes the general class of Stirling devices. The cycle is reversible: if supplied with mechanical power, it can function as a heat pump for heating or refrigeration cooling, or cryogenic cooling. The cycle is a closed-cycle (the working fluid is permanently contained within the thermodynamic system) regenerative (uses an internal heat exchanger) cycle with a gaseous working fluid."
Cool,Divided Solid,Sublimation,The change of the physical state of aggregation (or simply state) of matter directly from solid phase to gaseous phase without passing through an intermediate liquid phase.
Cool,Divided Solid,Supercritical Fluid,"Any substance at a temperature and pressure above its critical point. It can diffuse through solids like a gas, and dissolve materials like a liquid. Additionally, close to the critical point, small changes in pressure or temperature result in large changes in density, allowing many properties to be 'tuned'."
Cool,Divided Solid,Thermal Hall Effect,"The thermal analog of the Hall effect, i.e. a thermal gradient is produced across a solid instead of an electric field. When a magnetic field is applied, an orthogonal temperature gradient develops. For conductors, a significant portion of the thermal current is carried by the electrons. In particular, the Righi-Leduc Effect describes the heat flow resulting from a perpendicular temperature gradient and vice versa, and the Maggi-Righi-Leduc effect describes changes in thermal conductivity when placing a conductor in a magnetic field."
Cool,Divided Solid,Thermal Radiation,Electromagnetic radiation emitted from the surface of an object due to the object's temperature.
Cool,Divided Solid,Thermionic Emission,Emission of electrons or ions caused by thermal vibrational energy . Also known as the Edison Effect.
Cool,Divided Solid,Thermoacoustic Engine,"Thermoacoustic devices which use high-amplitude sound waves to pump heat from one place to another, or use a heat difference to induce high-amplitude sound waves. Can be divided into standing wave and travelling wave devices. These two types can again be divided in two thermodynamic classes, a prime mover (or simply heat engine), and a heat pump. The prime mover creates work using heat and a heat pump creates or moves heat using work."
Cool,Divided Solid,Thermoacoustics,"The interaction between thermodynamic and acoustic phenomena, for example the relation between pressure changes, and temperature changes. A dynamic pressure would cause a dynamic temperature and vice versa."
Cool,Divided Solid,Thermolysis,"(or Thermal decomposition) A chemical decomposition caused by heat. The reaction is usually endothermic as heat is required to break chemical bonds in the compound undergoing decomposition. If decomposition is sufficiently exothermic, a positive feedback loop is created producing thermal runaway and possibly an explosion."
Cool,Divided Solid,Thermomagnetic Convection,"Ferrofluids can be used to transfer heat, since heat and mass transport in such magnetic fluids can be controlled using an external magnetic field."
Cool,Divided Solid,Thermosyphon,"A method of passive heat exchange based on natural convection which circulates liquid without the necessity of a mechanical pump. Can either be open-loop, as when liquid in a holding tank is passed in one direction via a heated transfer tube mounted at the bottom of the tank to a distribution point - even one mounted above the originating tank - or it can be a vertical closed-loop circuit with return to the original vessel."
Cool,Divided Solid,Thompson Effect,The heating or cooling of a current-carrying conductor with a temperature gradient Depending on the material it may cause heating or cooling. One of a number of thermoelectirc effects (see Seebeck effect and Peltier Effect).
Cool,Divided Solid,Wind,The flow of air or other gases that compose an atmosphere
Cool,Field,Thermionic Energy Conversion,The direct production of electric power from heat by thermionic electron emission
Cool,Gas,Adiabatic Cooling,Adiabatic cooling occurs when the pressure of a substance is decreased as it does work on its surroundings. Adiabatic cooling does not have to involve a fluid.
Cool,Gas,Adsorption Refrigerator,"A refrigerator that uses a heat source to provide the energy needed to drive the cooling system. Sometimes used where electricity is unreliable, costly, or unavailable, where noise from the compressor is problematic, or where surplus heat is available (e.g., from turbine exhausts or industrial processes, or from solar plants)."
Cool,Gas,Advection,"A transport mechanism of a substance, or a conserved property, by a fluid, due to the fluid's bulk motion in a particular direction. An example of advection is the transport of pollutants or silt in a river."
Cool,Gas,Aeration,"The process by which air is circulated through, mixed with or dissolved in a liquid or substance."
Cool,Gas,Bubble,"A globule of one substance in another, usually gas in a liquid. Due to the Marangoni effect, bubbles may remain intact when they reach the surface of the immersive substance."
Cool,Gas,Ceramic Foam,"A tough foam made from ceramics. Used in a variety of applications such as thermal insulation, acoustic insulation, absorption of environmental pollutants, filtration of molten metal alloys, and as substrate for catalysts requiring large internal surface area. Has been used as stiff lightweight structural material, specifically for support of reflecting telescope mirrors."
Cool,Gas,Conduction (thermal),"The spontaneous transfer of thermal energy through matter, from a region of higher temperature to a region of lower temperature. Conduction acts to equalize temperature differences. It is also described as heat energy transferred from one material to another by direct contact."
Cool,Gas,Convection,"The movement of molecules within fluids (i.e. liquids, gases) and rheids. One of the major modes of heat transfer and mass transfer. Convective heat and mass transfer take place through both diffusion (random Brownian motion) and by advection (transport by the larger-scale motion of currents). Note that a common use of the term convection refers specifically to heat transfer by convection, as opposed to convection in general."
Cool,Gas,Cryogenics,"The behavior of materials at very low temperatures (typically below -150 °C, -238 °F or 123 K)."
Cool,Gas,Curie Point (ferromagnetic),The Curie point of a ferromagnetic material is the temperature above which it loses its characteristic ferromagnetic ability
Cool,Gas,Electrocaloric Effect,A phenomenon in which a material shows a reversible temperature change under an applied electric field. Often considered the physical inverse of the pyroelectric effect. The effect comes from the voltage raising or lowering the entropy of the system. Analogous to the magnetocaloric effect.
Cool,Gas,Endothermic Reaction,"A process or reaction that absorbs energy typically (but not always) in the form of heat. The concept is frequently applied in physical sciences to e.g. chemical reactions, where thermal energy (heat) is converted to chemical bond energy."
Cool,Gas,Ettingshausen Effect,"(or Second Nernst-Ettingshausen Effect) A thermoelectric (or thermomagnetic) phenomenon that affects electric current in a conductor when a magnetic field is present, resulting in a potential difference is induced normal to both the direction of the magnetic field and the current. Alternately, a temperature gradient is induced. The inverse of the Nernst Effect."
Cool,Gas,Evaporation,The change of the physical state of aggregation (or simply state) of matter from liquid phase to gaseous phase.
Cool,Gas,Evaporative Cooler,A device that cools air through the evaporation of water. Evaporative cooling works by employing water's large enthalpy of vaporisation.
Cool,Gas,Fan,"A device used to produce flow in a gas (and, in principle, a liquid). Mechanical revolving blade fans are made in a wide range of designs. There are three main types of fans used for moving air, axial, centrifugal (also called radial) and cross flow (also called tangential)."
Cool,Gas,Fin,"A flat surface that extends from an object, usually for the purpose of increasing surface area, increasing stiffness or for obtaining a hydrodynamic or aerodynamic interaction with an external relatively moving fluid."
Cool,Gas,Fluid Spray,"When a liquid is dispersed as a stream of droplets (atomisation), it is called a spray. Spray nozzles are used to achieve two primary functions: increase liquid surface area to enhance evaporation, or distribute a liquid over an area."
Cool,Gas,Forced Convection,"Heat advection by a fluid which is not due to the natural forces of buoyancy induced by heating. In forced heat convection, transfer of heat is due to movement in the fluid which results from many other forces, such as (for example) a fan or pump."
Cool,Gas,Free Convection,Movement of molecules of fluids (or gases) dues to density differences in the fluid (or gas) occurring due to temperature gradients.
Cool,Gas,Fusible Alloy,"A fusible alloy is one that is capable of being fused, as well as being liquefied by heat. Examples: Wood's metal, Field's metal, Rose metal, Galinstan, NaK."
Cool,Gas,Heat Exchanger,"A device built for efficient heat transfer from one medium to another, whether the media are separated by a solid wall so that they never mix, or the media are in direct contact"
Cool,Gas,Heat Pipe,"A heat pipe is a heat transfer mechanism that can transport heat with a very small difference in temperature between the hotter and colder interfaces. Inside a heat pipe, at the hot interface a fluid turns to vapour and the gas naturally flows and condenses on the cold interface. The liquid falls or is moved by capillary action back to the hot interface to evaporate again and repeat the cycle."
Cool,Gas,Heat Sink,"A component or assembly that transfers heat generated within a solid material to a fluid medium, such as air or a liquid."
Cool,Gas,Hydrates,"In organic chemistry, a hydrate is a compound formed by the addition of water or its elements to a host molecule. In inorganic chemistry, hydrates contain water molecules that are either bound to a metal center or crystallized with the metal complex. Such hydrates are also said to contain 'water of crystallisation' or 'water of hydration'."
Cool,Gas,Incandescence,The emission of light (visible electromagnetic radiation) from a hot body due to its temperature.
Cool,Gas,Infrared Radiation,"Infrared (IR) radiation is electromagnetic radiation whose wavelength is longer than that of visible light (400-700 nm), but shorter than that of terahertz radiation (3-300 µm) and microwaves (~30,000 µm). Infrared radiation spans roughly three orders of magnitude (750 nm and 1000 µm)."
Cool,Gas,Intumescent Materials,"An intumescent is a substance which swells as a result of heat exposure, thus increasing in volume, and decreasing in density. Intumescents are typically used in passive fire protection."
Cool,Gas,Joule-Thomson Effect,"The temperature change of a gas resulting from expansion without production of work or the transfer of heat. For example, when a gas or liquid is forced through a valve or porous plug while kept insulated."
Cool,Gas,Lamella,"A gill-shaped structure: fine sheets of material held adjacent to one another, often with fluid in-between. They appear in biological and engineering contexts, such as filters and heat exchangers. The microscopic structures in bone and nacre are lamellae in the materials science sense of the word."
Cool,Gas,Latent Heat,"Energy released or absorbed, by a body or a thermodynamic system, during a constant-temperature process. An example is a state of matter change, meaning a phase transition, such as ice melting or water boiling."
Cool,Gas,Loop Heat Pipe,A two-phase heat transfer device that uses capillary action to remove heat from a source and passively move it to a condenser or radiator. Similar to heat pipe but has advantage of being able provide reliable operation over long distance and ability to operate against gravity. Designs range from powerful & large to miniature (micro loop heat pipe). Widely used in both ground based as well as space applications.
Cool,Gas,Magnetic Refrigeration,"A cooling technology based on the magnetocaloric effect. This technique can be used to attain extremely low temperatures (well below 1 K), as well as the ranges used in common refrigerators, depending on the design of the system."
Cool,Gas,Magnetocaloric Effect,"(or Magnetothermal Effect) A magneto-thermodynamic phenomenon in which a reversible change in temperature of a suitable material is caused by exposing the material to a changing magnetic field. Also known as adiabatic demagnetisation. Can be used to attain extremely low temperatures (well below 1 K), as well as the ranges used in common refrigerators."
Cool,Gas,Melting,A process that results in the phase change of a substance from a solid to a liquid. The internal energy of a solid substance is increased (typically by the absorbtion of heat) to a specific temperature (called the melting point) at which it changes to the liquid phase.
Cool,Gas,Mixed Convection,Movement of fluids or gases (or particles carried by fluids or gasses) by a combination of Free and Forced Convection
Cool,Gas,Peltier Effect,"Heat is evolved or absorbed at the junction of two dissimilar metals carrying a small current, depending upon the direction of the current. One of a number of thermoelectric effects (See Seebeck Effect and Thompson Effect)."
Cool,Gas,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Cool,Gas,Porosity,The quality of being porous - i.e. having voids or spaces within a solid substance within or through which fluids can be present.
Cool,Gas,Pseudo Stirling Cycle,"(also known as the adiabatic Stirling cycle), is a thermodynamic cycle with an adiabatic working volume and isothermal heater and cooler, in contrast to the Stirling cycle with an isothermal working space.The working fluid has no bearing on the maximum thermal efficiencies of the pseudo Stirling cycle."
Cool,Gas,Pulse Tube Refrigerator,A type of cryocooler having no moving parts in the low temperature part of the device making it suitable for a wide variety of applications.
Cool,Gas,Radiation,A process in which energetic particles or waves travel through a medium or space. There are two distinct types of radiation; ionizing and non-ionizing.
Cool,Gas,Ranque-Hilsch Effect,"The Ranque-Hilsch vortex tube (or vortex tube), is a mechanical device that separates a compressed gas into hot and cold streams. It has no moving parts. Pressurised gas is injected tangentially into a swirl chamber and accelerates to a high rate of rotation. Due to the conical nozzle at the end of the tube, only the outer shell of the compressed gas is allowed to escape at that end. The remainder of the gas is forced to return in an inner vortex of reduced diameter within the outer vortex."
Cool,Gas,Rarefaction,"(also called rarefraction) The reduction of a medium's density, or the opposite of compression. Has a variety of causes, such as the passage of a sound wave through a gas, of the diminishing effect of the earth's gravity on the atmosphere with altitude."
Cool,Gas,Rayleigh-Bénard Convection,Convection cells that appear spontaneously in a liquid layer when heat is applied from below.
Cool,Gas,Reflection,"The change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves."
Cool,Gas,Reticulated Foam,"A very porous, low density solid foam. Reticulated foams are extremely open foams i.e. there are few, if any, intact bubbles or cell windows. In contrast, the foam formed by soap bubbles is composed solely of intact (fully enclosed) bubbles. In a reticulated foam only the linear boundaries where the bubbles meet remain."
Cool,Gas,Rubber Band Thermodynamics,"Stretching a rubber band will cause it to release heat, while releasing it after it has been stretched will lead it to absorb heat, causing its surroundings to become cooler. Heating causes a rubber band to contract, and cooling causes expansion."
Cool,Gas,Second Sound,"A quantum mechanical phenomenon in which heat transfer occurs by wave-like motion, rather than by the more usual mechanism of diffusion. Heat takes the place of pressure in normal sound waves. This leads to a very high thermal conductivity. It is known as 'second sound' because the wave motion of heat is similar to the propagation of sound in air."
Cool,Gas,Siemens Cycle,"A technique used to cool or liquify gases. A gas is compressed, leading to an increase in its temperature (by Gay-Lussac's law relating pressure and temperature). The compressed gas is then cooled by a heat exchanger, then the cool, compressed gas is allowed to decompress, further cooling it (again by Gay-Lussac's law). This results in a gas (or liquified gas) that is colder than the original and at the same pressure."
Cool,Gas,Solvation,"(commonly called dissolution) The process of attraction and association of molecules of a solvent with molecules or ions of a solute. As ions dissolve in a solvent they spread out and become surrounded by solvent molecules. The bigger the ion, the more solvent molecules are able to surround it and the more it becomes solvated."
Cool,Gas,Spray,"When a liquid is dispersed as a stream of droplets (atomisation), it is called a spray. Spray nozzles are used to achieve two primary functions: increase liquid surface area to enhance evaporation, or distribute a liquid over an area."
Cool,Gas,Stirling Cycle,"A thermodynamic cycle that describes the general class of Stirling devices. The cycle is reversible: if supplied with mechanical power, it can function as a heat pump for heating or refrigeration cooling, or cryogenic cooling. The cycle is a closed-cycle (the working fluid is permanently contained within the thermodynamic system) regenerative (uses an internal heat exchanger) cycle with a gaseous working fluid."
Cool,Gas,Supercooling,"(also known as undercooling) The process of lowering the temperature of a liquid or a gas below its freezing point, without it becoming a solid. A liquid below its standard freezing point will crystallize in the presence of a seed crystal or nucleus around which a crystal structure can form. Without any such nucleus, the liquid phase can be maintained all the way down to the temperature at which crystal homogeneous nucleation occurs."
Cool,Gas,Supercritical Fluid,"Any substance at a temperature and pressure above its critical point. It can diffuse through solids like a gas, and dissolve materials like a liquid. Additionally, close to the critical point, small changes in pressure or temperature result in large changes in density, allowing many properties to be 'tuned'."
Cool,Gas,Suspension,"A heterogeneous fluid containing solid particles that are sufficiently large for sedimentation. Usually they must be larger than 1 micrometer. The internal phase (solid) is dispersed throughout the external phase (fluid - which may be liquid or gas) through mechanical agitation, with the use of certain excipients or suspending agents."
Cool,Gas,Thermal Expansion,The tendency of matter to change in volume in response to a change in temperature or when a substance is heated.
Cool,Gas,Thermal Radiation,Electromagnetic radiation emitted from the surface of an object due to the object's temperature.
Cool,Gas,Thermoacoustic Engine,"Thermoacoustic devices which use high-amplitude sound waves to pump heat from one place to another, or use a heat difference to induce high-amplitude sound waves. Can be divided into standing wave and travelling wave devices. These two types can again be divided in two thermodynamic classes, a prime mover (or simply heat engine), and a heat pump. The prime mover creates work using heat and a heat pump creates or moves heat using work."
Cool,Gas,Thermoacoustics,"The interaction between thermodynamic and acoustic phenomena, for example the relation between pressure changes, and temperature changes. A dynamic pressure would cause a dynamic temperature and vice versa."
Cool,Gas,Thermocouple,A junction between two different metals that produces a voltage related to a temperature difference. Thermocouples are a widely used type of temperature sensor for measurement and control and can also be used to convert heat into electricity.
Cool,Gas,Thermolysis,"(or Thermal decomposition) A chemical decomposition caused by heat. The reaction is usually endothermic as heat is required to break chemical bonds in the compound undergoing decomposition. If decomposition is sufficiently exothermic, a positive feedback loop is created producing thermal runaway and possibly an explosion."
Cool,Gas,Thermomagnetic Convection,"Ferrofluids can be used to transfer heat, since heat and mass transport in such magnetic fluids can be controlled using an external magnetic field."
Cool,Gas,Thermosyphon,"A method of passive heat exchange based on natural convection which circulates liquid without the necessity of a mechanical pump. Can either be open-loop, as when liquid in a holding tank is passed in one direction via a heated transfer tube mounted at the bottom of the tank to a distribution point - even one mounted above the originating tank - or it can be a vertical closed-loop circuit with return to the original vessel."
Cool,Gas,Thompson Effect,The heating or cooling of a current-carrying conductor with a temperature gradient Depending on the material it may cause heating or cooling. One of a number of thermoelectirc effects (see Seebeck effect and Peltier Effect).
Cool,Gas,Trompe,"A water-powered gas compressor. A vertical pipe or shaft goes down to a separation chamber, a pipe coming away from that chamber allows the water to exit at a lower level, and another pipe coming from the chamber allows the compressed air to exit as needed. The compressed air is both cool and dry."
Cool,Liquid,Adiabatic Cooling,Adiabatic cooling occurs when the pressure of a substance is decreased as it does work on its surroundings. Adiabatic cooling does not have to involve a fluid.
Cool,Liquid,Adsorption Refrigerator,"A refrigerator that uses a heat source to provide the energy needed to drive the cooling system. Sometimes used where electricity is unreliable, costly, or unavailable, where noise from the compressor is problematic, or where surplus heat is available (e.g., from turbine exhausts or industrial processes, or from solar plants)."
Cool,Liquid,Advection,"A transport mechanism of a substance, or a conserved property, by a fluid, due to the fluid's bulk motion in a particular direction. An example of advection is the transport of pollutants or silt in a river."
Cool,Liquid,Aeration,"The process by which air is circulated through, mixed with or dissolved in a liquid or substance."
Cool,Liquid,Aerosol,A suspension of fine solid particles or liquid droplets in a gas.
Cool,Liquid,Bubble,"A globule of one substance in another, usually gas in a liquid. Due to the Marangoni effect, bubbles may remain intact when they reach the surface of the immersive substance."
Cool,Liquid,Ceramic Foam,"A tough foam made from ceramics. Used in a variety of applications such as thermal insulation, acoustic insulation, absorption of environmental pollutants, filtration of molten metal alloys, and as substrate for catalysts requiring large internal surface area. Has been used as stiff lightweight structural material, specifically for support of reflecting telescope mirrors."
Cool,Liquid,Conduction (thermal),"The spontaneous transfer of thermal energy through matter, from a region of higher temperature to a region of lower temperature. Conduction acts to equalize temperature differences. It is also described as heat energy transferred from one material to another by direct contact."
Cool,Liquid,Convection,"The movement of molecules within fluids (i.e. liquids, gases) and rheids. One of the major modes of heat transfer and mass transfer. Convective heat and mass transfer take place through both diffusion (random Brownian motion) and by advection (transport by the larger-scale motion of currents). Note that a common use of the term convection refers specifically to heat transfer by convection, as opposed to convection in general."
Cool,Liquid,Cryogenics,"The behavior of materials at very low temperatures (typically below -150 °C, -238 °F or 123 K)."
Cool,Liquid,Curie Point (ferromagnetic),The Curie point of a ferromagnetic material is the temperature above which it loses its characteristic ferromagnetic ability
Cool,Liquid,Electrocaloric Effect,A phenomenon in which a material shows a reversible temperature change under an applied electric field. Often considered the physical inverse of the pyroelectric effect. The effect comes from the voltage raising or lowering the entropy of the system. Analogous to the magnetocaloric effect.
Cool,Liquid,Endothermic Reaction,"A process or reaction that absorbs energy typically (but not always) in the form of heat. The concept is frequently applied in physical sciences to e.g. chemical reactions, where thermal energy (heat) is converted to chemical bond energy."
Cool,Liquid,Ettingshausen Effect,"(or Second Nernst-Ettingshausen Effect) A thermoelectric (or thermomagnetic) phenomenon that affects electric current in a conductor when a magnetic field is present, resulting in a potential difference is induced normal to both the direction of the magnetic field and the current. Alternately, a temperature gradient is induced. The inverse of the Nernst Effect."
Cool,Liquid,Evaporation,The change of the physical state of aggregation (or simply state) of matter from liquid phase to gaseous phase.
Cool,Liquid,Evaporative Cooler,A device that cools air through the evaporation of water. Evaporative cooling works by employing water's large enthalpy of vaporisation.
Cool,Liquid,Fan,"A device used to produce flow in a gas (and, in principle, a liquid). Mechanical revolving blade fans are made in a wide range of designs. There are three main types of fans used for moving air, axial, centrifugal (also called radial) and cross flow (also called tangential)."
Cool,Liquid,Fin,"A flat surface that extends from an object, usually for the purpose of increasing surface area, increasing stiffness or for obtaining a hydrodynamic or aerodynamic interaction with an external relatively moving fluid."
Cool,Liquid,Flash Evaporation,"Flash (or partial) evaporation is the partial vaporisation that occurs when a saturated liquid stream undergoes a reduction in pressure by passing through a throttling valve or other throttling device. If the throttling valve or device is located at the entry into a pressure vessel so that the flash evaporation occurs within the vessel, then the vessel is often referred to as a flash drum."
Cool,Liquid,Fluid Spray,"When a liquid is dispersed as a stream of droplets (atomisation), it is called a spray. Spray nozzles are used to achieve two primary functions: increase liquid surface area to enhance evaporation, or distribute a liquid over an area."
Cool,Liquid,Forced Convection,"Heat advection by a fluid which is not due to the natural forces of buoyancy induced by heating. In forced heat convection, transfer of heat is due to movement in the fluid which results from many other forces, such as (for example) a fan or pump."
Cool,Liquid,Free Convection,Movement of molecules of fluids (or gases) dues to density differences in the fluid (or gas) occurring due to temperature gradients.
Cool,Liquid,Free Fall,"The motion of a body where gravity is the only or dominant force acting upon it, at least initially."
Cool,Liquid,Fusible Alloy,"A fusible alloy is one that is capable of being fused, as well as being liquefied by heat. Examples: Wood's metal, Field's metal, Rose metal, Galinstan, NaK."
Cool,Liquid,Heat Exchanger,"A device built for efficient heat transfer from one medium to another, whether the media are separated by a solid wall so that they never mix, or the media are in direct contact"
Cool,Liquid,Heat Pipe,"A heat pipe is a heat transfer mechanism that can transport heat with a very small difference in temperature between the hotter and colder interfaces. Inside a heat pipe, at the hot interface a fluid turns to vapour and the gas naturally flows and condenses on the cold interface. The liquid falls or is moved by capillary action back to the hot interface to evaporate again and repeat the cycle."
Cool,Liquid,Heat Sink,"A component or assembly that transfers heat generated within a solid material to a fluid medium, such as air or a liquid."
Cool,Liquid,Hydrates,"In organic chemistry, a hydrate is a compound formed by the addition of water or its elements to a host molecule. In inorganic chemistry, hydrates contain water molecules that are either bound to a metal center or crystallized with the metal complex. Such hydrates are also said to contain 'water of crystallisation' or 'water of hydration'."
Cool,Liquid,Impeller,A rotating component used to increase the pressure and flow of a fluid. Typically the rotating component of a centrifugal pump. Transfers energy from the motor that drives the pump to the fluid being pumped by accelerating the fluid outwards from the center of rotation. The velocity achieved by the impeller transfers into pressure when the outward movement of the fluid is confined by the pump casing.
Cool,Liquid,Incandescence,The emission of light (visible electromagnetic radiation) from a hot body due to its temperature.
Cool,Liquid,Infrared Radiation,"Infrared (IR) radiation is electromagnetic radiation whose wavelength is longer than that of visible light (400-700 nm), but shorter than that of terahertz radiation (3-300 µm) and microwaves (~30,000 µm). Infrared radiation spans roughly three orders of magnitude (750 nm and 1000 µm)."
Cool,Liquid,Intumescent Materials,"An intumescent is a substance which swells as a result of heat exposure, thus increasing in volume, and decreasing in density. Intumescents are typically used in passive fire protection."
Cool,Liquid,Joule-Thomson Effect,"The temperature change of a gas resulting from expansion without production of work or the transfer of heat. For example, when a gas or liquid is forced through a valve or porous plug while kept insulated."
Cool,Liquid,Lamella,"A gill-shaped structure: fine sheets of material held adjacent to one another, often with fluid in-between. They appear in biological and engineering contexts, such as filters and heat exchangers. The microscopic structures in bone and nacre are lamellae in the materials science sense of the word."
Cool,Liquid,Latent Heat,"Energy released or absorbed, by a body or a thermodynamic system, during a constant-temperature process. An example is a state of matter change, meaning a phase transition, such as ice melting or water boiling."
Cool,Liquid,Loop Heat Pipe,A two-phase heat transfer device that uses capillary action to remove heat from a source and passively move it to a condenser or radiator. Similar to heat pipe but has advantage of being able provide reliable operation over long distance and ability to operate against gravity. Designs range from powerful & large to miniature (micro loop heat pipe). Widely used in both ground based as well as space applications.
Cool,Liquid,Magnetic Refrigeration,"A cooling technology based on the magnetocaloric effect. This technique can be used to attain extremely low temperatures (well below 1 K), as well as the ranges used in common refrigerators, depending on the design of the system."
